date	time	exp	mag	mag_err	band	source
2021-02-10	23:07:40	180	21.35	0.07	R	manual
2021-02-13	05:06:36.15	3600	23.05	0.14	Rc	manual
2021-02-10	06:14:20.35	2700	18.84	0.03	r	manual
2021-02-10	02:01:53	147	16.04	0.03	white	manual
2021-02-10	02:15:06	147	16.57	0.06	white	manual
2021-02-10	02:10:57	20	16.95	0.19	v	manual
2021-02-10	02:09:41	20	16.99	0.11	b	manual
2021-02-10	02:05:26	246	16.91	0.03	u	manual
2021-02-10	02:11:47	19	16.05	0.15	uvw1	manual
2021-02-10	02:14:15	19	16.13	0.2	uvm2	manual
2021-02-10	02:13:27	20	16.35	0.18	uvw2	manual
2021-02-10	11:31:00	900	19.62	0.05	R	manual
