time_sec	Rband_flux	Rband_poserr	Rband_negerr	beta
88.16	8.482087E-13	3.154841E-13	3.161927E-13	1.036
103.16	1.101800E-12	2.409990E-13	2.412827E-13	1.036
123.16	1.966540E-12	3.034996E-13	3.038621E-13	1.036
143.16	2.186265E-12	3.013021E-13	3.008897E-13	1.036
168.16	2.770147E-12	2.692096E-13	2.672587E-13	1.036
203.16	2.845134E-12	2.335577E-13	2.345257E-13	1.036
228.04	2.528732E-12	4.504579E-13	4.504895E-13	1.036
597.17	1.289742E-12	2.140130E-13	2.144485E-13	1.036
770.60	1.335681E-12	2.144302E-13	2.149296E-13	1.036
948.99	1.161189E-12	1.011962E-13	1.015189E-13	1.036
1150.09	1.033958E-12	1.865298E-13	1.864439E-13	1.036
1457.88	8.273757E-13	1.366545E-13	1.366814E-13	1.036
1715.60	6.862822E-13	1.927645E-13	1.929483E-13	1.036
5180.08	2.359950E-13	5.515153E-14	5.514561E-14	1.036
26638.00	0.000000E+00	0.000000E+00	0.000000E+00	1.036
57769.14	1.453794E-14	0.000000E+00	2.384187E-14	1.036
149577.64	2.342625E-15	0.000000E+00	2.299132E-14	1.036
206620.49	1.588191E-14	0.000000E+00	3.843096E-14	1.036
307400.15	1.895408E-14	0.000000E+00	1.953192E-14	1.036
