date	time	exp	mag	mag_err	band	source
2010-05-13	03:02:56.000	772	17.7	0.1	J	manual
2010-05-13	04:34:44.000	n/a	21.39	0.25	R	manual
2010-05-13	12:00:32.000	6x300	21.3	0.2	i	manual
2010-05-13	03:06:32.000	1030	17.8	0.1	J	manual
2010-05-13	03:06:32.000	1030	16.4	0.2	K	manual
2010-05-13	03:47:56.000	1685	18.0	0.1	J	manual
2010-05-13	04:50:20.000	2855	18.4	0.2	J	manual
2010-05-13	19:40:12.000	104x60	23.03	0.12	R	manual
2010-05-13	20:17:39.000	64x60	21.59	0.07	I	manual
2010-05-13	03:06:32.000	1030	17.2	0.1	H	manual
2010-05-13	03:47:56.000	1685	17.6	0.1	H	manual
