  gg 19.00 0.03    0.10
  gg 18.98 0.02        0.10
  gg 18.98 0.02        0.10
  gg 18.96 0.02        0.10
  gg 18.93 0.03        0.10
  gg 18.95 0.02        0.10
  gg 18.95 0.02        0.10
  gg 18.95 0.02        0.10
  gg 18.94 0.02        0.10
  gg 18.92 0.02        0.10
  gg 18.89 0.02        0.10
  gg 18.90 0.02        0.10
  gg 18.89 0.02        0.10
  gg 18.87 0.02        0.10
  gg 18.88 0.02        0.10
  gg 18.91 0.02        0.10
  gg 18.74 0.02        0.10
  gg 18.75 0.02        0.10
  gg 18.77 0.02        0.10
  gg 18.78 0.02        0.10
  gg 18.74 0.02        0.10
  gg 18.74 0.02        0.10
  gg 18.75 0.02        0.10
  gg 18.74 0.02        0.10
  gg 18.74 0.02        0.10
  gg 18.78 0.02        0.10
  gg 18.76 0.02        0.10
  gg 18.76 0.02        0.10
  gg 18.89 0.02        0.10
  gg 18.92 0.02        0.10
  gg 18.87 0.02        0.10
  gg 18.89 0.02        0.10
  gg 18.89 0.03        0.10
  gg 18.91 0.02        0.10
  gg 18.92 0.02        0.10
  gg 18.94 0.03        0.10
  gg 18.97 0.03        0.10
  gg 18.99 0.02        0.10
  gg 18.90 0.02        0.10
  gg 18.94 0.03        0.10
  gg 19.03 0.03        0.10
  gg 19.08 0.02        0.10
  gg 19.06 0.02        0.10
  gg 19.04 0.02        0.10
  gg 19.05 0.02        0.10
  gg 19.08 0.02        0.10
  gg 19.09 0.02        0.10
  gg 19.07 0.02        0.10
  gg 19.12 0.02        0.10
  gg 19.13 0.02        0.10
  gg 19.09 0.02        0.10
  gg 19.09 0.02        0.10
  gg 19.88 0.06        0.10
  gg 19.90 0.05        0.10
  gg 19.92 0.05        0.10
  gg 19.93 0.04        0.10
  gg 19.88 0.06        0.10
  gg 19.94 0.07        0.10
  gg 19.90 0.05        0.10
  gg 19.89 0.04        0.10
  gg 20.13 0.05        0.10
  gg 20.06 0.03        0.10
  gg 20.08 0.03        0.10
  gg 20.11 0.04        0.10
  gg 20.09 0.05        0.10
  gg 20.07 0.03        0.10
  gg 20.12 0.04        0.10
  gg 20.14 0.03        0.10
  gg 20.42 0.05        0.10
  gg 20.43 0.04        0.10
  gg 20.45 0.04        0.10
  gg 20.48 0.04        0.10
  gg 20.88 0.08        0.10
  gg 20.85 0.05        0.10
  gg 20.87 0.05        0.10
  gg 20.91 0.04        0.10
  gg 21.05 0.06        0.10
  gg 21.11 0.05        0.10
  gg 21.14 0.04        0.10
  gg 21.09 0.06        0.10
  gg 21.15 0.10        0.10
  gg 23.45 0.12        0.10
  gg 23.48 100.          0.10
  gg 24.13 0.15          0.10
  gg 24.24 100.          0.10
  gg 23.99 100.          0.10
  rr 18.70 0.02   0.07
  rr 18.70 0.02   0.07
  rr 18.68 0.02   0.07
  rr 18.68 0.02   0.07
  rr 18.67 0.02   0.07
  rr 18.70 0.02   0.07
  rr 18.70 0.02   0.07
  rr 18.67 0.02   0.07
  rr 18.67 0.02   0.07
  rr 18.67 0.02   0.07
  rr 18.64 0.02   0.07
  rr 18.65 0.02   0.07
  rr 18.65 0.02   0.07
  rr 18.63 0.02   0.07
  rr 18.62 0.02   0.07
  rr 18.62 0.02   0.07
  rr 18.50 0.02   0.07
  rr 18.51 0.02   0.07
  rr 18.52 0.02   0.07
  rr 18.49 0.02   0.07
  rr 18.52 0.02   0.07
  rr 18.52 0.02   0.07
  rr 18.54 0.02   0.07
  rr 18.52 0.02   0.07
  rr 18.53 0.02   0.07
  rr 18.52 0.02   0.07
  rr 18.54 0.02   0.07
  rr 18.52 0.02   0.07
  rr 18.68 0.02   0.07
  rr 18.67 0.02   0.07
  rr 18.69 0.02   0.07
  rr 18.69 0.02   0.07
  rr 18.68 0.02   0.07
  rr 18.69 0.02   0.07
  rr 18.69 0.02   0.07
  rr 18.69 0.02   0.07
  rr 18.74 0.03   0.07
  rr 18.72 0.03   0.07
  rr 18.73 0.03   0.07
  rr 18.72 0.02   0.07
  rr 18.85 0.03   0.07
  rr 18.80 0.02   0.07
  rr 18.83 0.02   0.07
  rr 18.80 0.02   0.07
  rr 18.84 0.02   0.07
  rr 18.81 0.02   0.07
  rr 18.87 0.02   0.07
  rr 18.84 0.02   0.07
  rr 18.86 0.02   0.07
  rr 18.85 0.02   0.07
  rr 18.84 0.02   0.07
  rr 18.83 0.02   0.07
  rr 19.72 0.04   0.07
  rr 19.66 0.04   0.07
  rr 19.69 0.03   0.07
  rr 19.66 0.03   0.07
  rr 19.76 0.05   0.07
