time_sec	flux	flux_err	band
14029.94	7.187422426803234e-13	1.9859582084409855e-14	r
24402.0		5.656830559775623e-13	1.5630400464639016e-14	r
102697.17	1.7400958466453676e-13	6.410750010986361e-15	r
106405.63	1.772446643781705e-13	4.897451064118897e-15	r
191466.77	9.921404821013076e-14	2.741385461090876e-15	r
275594.19	7.737010218116611e-14	2.8504199028124665e-15	r
366390.74	5.923428770627777e-14	2.1822718058655302e-15	r
448791.55	5.402231244965193e-14	1.9902555413701624e-15	r
537481.41	4.2911448083855625e-14	1.9761452135334776e-15	r
794992.63	4.330850282436106e-14	1.1966581560391715e-15	r
1226716.84	4.0232143385595364e-14	1.482206937901934e-15	r
