time_sec	flux	flux_err	band
0.354	4.3286466912669646e-13	3.986830937659724e-15	i
1.382	7.250235938373015e-14	3.33885703847748e-15	i
2.388	1.645705572437782e-14	9.094505084525927e-16	i
3.409	1.707466295474248e-14	3.145269150999016e-16	i
4.387	1.9604336107326263e-14	1.4445008665207798e-15	i
7.331	2.2508789498668684e-14	8.292544505756069e-16	i
11.35	5.2523316327854444e-14	1.4512728625335407e-15	i
14.3	7.052646880780323e-14	5.846155046580861e-15	i
29.31	4.574589614530688e-14	8.426705482386992e-16	i
40.33	1.4466122542468672e-14	1.3323791247885395e-16	i
