GRB 050416A

Table 1. Photometry of XRF 050416A. The time tmid is the time from the BAT trigger to the
middle of the observation. The exposure time is denoted by ?t. Upper limits are 3? upper limits.
Errors are 1? statistical errors and do not include the systematic errors in the photometric zero
points.
tmid (s) 		(Delta) t (s) 		Filter 		Mag 		Err 		Instrument
126 			100 			V 		19.19 		0.29 		UVOT 			
228 			10 			B 		> 19.49		· · ·		UVOT 			
257 			10 			V 		> 19.39		· · ·		UVOT 			
285 			10 			UVW1 		> 18.36		· · ·		UVOT 			
313 			10 			B 		> 19.17		· · ·		UVOT 			
342 			10 			V 		> 18.36		· · ·		UVOT 			
355 			10 			UVM2 		> 18.57		· · ·		UVOT 			
369 			10 			UVW1 		> 18.61		· · ·		UVOT 			
397 			10 			B 		> 19.44		· · ·		UVOT 			
482 			10 			B 		> 19.39		· · ·		UVOT 			
497 			10 			UVW2 		> 18.41		· · ·		UVOT 			
510 			10 			V 		> 18.61		· · ·		UVOT 			
566 			10 			B 		> 19.32		· · ·		UVOT 			
594 			10 × 10 		U 		19.75 		0.30 		UVOTa 			
650 			10 			B 		> 19.38 	· · ·		UVOT 			
666 			10 			UVW2 		> 18.20 	· · ·		UVOT 			
679 			10 			V 		> 18.13 	· · ·		UVOT 			
707 			10 			UVW1 		> 19.30 	· · ·		UVOT 			
735 			10 			B 		> 19.49 	· · ·		UVOT 			
792 			10 			UVW1 		> 18.16 	· · ·		UVOT 			
819 			10 			B 		> 19.48 	· · ·		UVOT 			
848 			10 			V 		> 18.33 	· · ·		UVOT 			
876 			10 			UVW1 		> 18.09 	· · ·		UVOT 			
904 			10 			B 		> 19.57 	· · · 		UVOT 			
919 			10 			UVW2 		> 19.05 	· · · 		UVOT 			
933 			10 			V 		> 18.22 	· · · 		UVOT 			
1035			100 			B 		20.74 		0.42 		UVOT 			
1140			100 			UVW2 		> 19.81 	· · · 		UVOT 			
1245			100 			V 		> 19.55 	· · · 		UVOT 			
1349			100 			UVM2 		> 20.75 	· · · 		UVOT 			
1454			100 			UVW1 		> 20.32 	· · · 		UVOT 			
1558			100 			U 		> 20.44 	· · · 		UVOT 			
1663			100 			B 		> 20.90 	· · · 		UVOT 			
1768			100 			UVW2 		> 19.55 	· · · 		UVOT 			
1868			93 			V 		19.51 		0.40 		UVOT 	    	
2081			100 			UVW1 		> 20.43		· · · 		UVOT 			
2185			100 			U 		> 20.30		· · · 		UVOT 			
2290			100 			B 		> 20.65		· · · 		UVOT 			
6850			900 			V 		> 21.02		· · · 		UVOT 			
11 730			900 			UVW1 		> 21.81		· · · 		UVOT 			
12 637			900 			U 		> 21.61		· · · 		UVOT 			
13 508			826 			B 		> 21.71		· · · 		UVOT 			
18 532			900 			V 		> 20.88		· · · 		UVOT 			
23 601			900 			UVW1 		> 21.93		· · · 		UVOT 			
24 508			900 			U 		> 21.55		· · · 		UVOT 			
25 231			530 			B 		> 21.60		· · · 		UVOT
59 659 			900 			U 		> 21.57 	· · · 		UVOT			
60 166 			99 			B 		> 20.72 	· · · 		UVOT
60 415 			2 × 1200 		V 		23.13 		0.17 		DFOSCa
63 859 			900 			B 		> 21.86 	· · ·		UVOT
67 559 			9202 			UVM2 		23.38 		0.42 		UVOTa
68 693 			3 × 600 		IC 		21.02 		0.17 		DFOSCa
70 541 			900 			UVW1 		> 21.98 	· · · 		UVOT
70 549 			1500 			B 		23.11 		0.25 		DFOSC
71 393 			791 			U 		> 21.55 	· · · 		UVOT
