time_sec	flux	flux_err	band
11171.52  	5.81202E-11 	1.65945E-12	R
11499.84  	5.84423E-11 	2.20692E-12	R
11983.68  	5.54686E-11 	1.63483E-12	R
12026.88  	5.64322E-11 	3.11856E-12	R
12303.36  	5.59303E-11 	1.28784E-12	R
13452.48  	5.17663E-11 	1.14428E-12	R
14195.52  	4.84894E-11 	1.07185E-12	R
14601.6   	4.66495E-11 	1.46084E-12	R
14964.48  	4.59248E-11 	1.69193E-12	R
16079.04  	4.23377E-11 	1.32581E-12	R
16796.16  	4.23767E-11 	1.71734E-12	R
17271.36  	4.23494E-11 	9.7513E-13	R
17478.72  	3.98774E-11 	1.13858E-12	R
18377.28  	3.84457E-11 	9.20654E-13	R
19552.32  	3.75705E-11 	8.99696E-13	R
20926.08  	3.54852E-11 	8.4976E-13	R
22083.84  	3.33924E-11 	8.30399E-13	R
23207.04  	3.19483E-11 	7.94487E-13	R
24278.4   	3.00087E-11 	1.43723E-12	R
26758.08  	2.70674E-11 	7.97761E-13	R
33134.4   	2.0928E-11  	9.63769E-13	R
34706.88  	1.98211E-11 	8.3977E-13	R
36624.96  	1.83285E-11 	5.40198E-13	R
37152     	1.7994E-11  	5.46911E-13	R
37679.04  	1.78619E-11 	6.58056E-13	R
38318.4   	1.7633E-11  	1.13684E-12	R
94979.52  	4.13854E-12 	2.66821E-13	R
95342.4   	3.96686E-12 	2.04602E-13	R
100897.9  	3.96212E-12 	2.55447E-13	R
101485.4  	3.82585E-12 	1.47997E-13	R
102876.5  	3.75947E-12 	1.35041E-13	R
104017    	3.69085E-12 	9.51833E-14	R
107377.9  	3.69426E-12 	1.66724E-13	R
110566.1  	3.55735E-12 	1.31058E-13	R
110808    	3.53547E-12 	6.8382E-14	R
112328.6  	3.47734E-12 	5.76495E-14	R
113451.8  	3.52799E-12 	1.6247E-13	R
113806.1  	3.47414E-12 	5.75964E-14	R
115223    	3.45404E-12 	1.30433E-13	R
115758.7  	3.40759E-12 	5.33546E-14	R
117650.9  	3.40979E-12 	1.22481E-13	R
118912.3  	3.38164E-12 	1.05897E-13	R
120260.2  	3.40038E-12 	1.0022E-13	R
121599.4  	3.40351E-12 	1.22255E-13	R
122999    	3.486E-12   	1.83011E-13	R
123569.3  	3.37542E-12 	1.05702E-13	R
124174.1  	3.50209E-12 	9.99918E-14	R
124727    	3.59689E-12 	2.0871E-13	R
186701.8  	2.69109E-12 	9.91433E-14	R
188092.8  	2.69109E-12 	7.6836E-14	R
188464.3  	2.70425E-12 	7.97027E-14	R
189769    	2.706E-12   	1.02185E-13	R
190581.1  	2.6233E-12  	7.97328E-14	R
192179.5  	2.55886E-12 	7.30608E-14	R
192741.1  	2.53074E-12 	6.29342E-14	R
193458.2  	2.53237E-12 	6.06424E-14	R
194080.3  	2.55651E-12 	6.35751E-14	R
195782.4  	2.54008E-12 	6.0827E-14	R
195842.9  	2.50223E-12 	9.21855E-14	R
197121.6  	2.50685E-12 	8.08112E-14	R
197354.9  	2.51911E-12 	6.72854E-14	R
198599    	2.50223E-12 	9.90995E-14	R
198832.3  	2.49601E-12 	6.66685E-14	R
199609.9  	2.44527E-12 	5.63045E-14	R
200569    	2.44595E-12 	5.632E-14	R
201303.4  	2.47245E-12 	7.74251E-14	R
202383.4  	2.39181E-12 	9.47265E-14	R
202521.6  	2.39247E-12 	5.28852E-14	R
203826.2  	2.37863E-12 	8.7632E-14	R
204379.2  	2.34232E-12 	5.17766E-14	R
204811.2  	2.36117E-12 	1.04386E-13	R
206193.6  	2.32727E-12 	5.14439E-14	R
206262.7  	2.36335E-12 	9.57758E-14	R
207290.9  	2.33952E-12 	9.69651E-14	R
207982.1  	2.27221E-12 	4.81339E-14	R
208733.8  	2.33092E-12 	1.26665E-13	R
209701.4  	2.26948E-12 	7.734E-14	R
210669.1  	2.23835E-12 	5.77246E-14	R
269291.5  	1.9411E-12  	4.82711E-14	R
271270.1  	1.98814E-12 	4.57786E-14	R
274138.6  	1.96267E-12 	4.51921E-14	R
275218.6  	1.96937E-12 	8.34374E-14	R
275840.6  	1.93396E-12 	4.63123E-14	R
276315.8  	1.98759E-12 	8.23788E-14	R
277430.4  	1.92685E-12 	4.6142E-14	R
280229.8  	1.98393E-12 	6.7609E-14	R
281707.2  	1.96394E-12 	5.78833E-14	R
282070.1  	1.93396E-12 	5.16561E-14	R
282450.3  	1.9411E-12  	4.64833E-14	R
291928.3  	1.96448E-12 	4.1615E-14	R
294200.6  	1.99916E-12 	4.4191E-14	R
294330.3  	2.02082E-12 	6.51434E-14	R
296032.3  	1.8882E-12  	4.86946E-14	R
356987.5  	1.11565E-12 	4.72673E-14	R
359000.6  	1.09357E-12 	2.82021E-14	R
359294.4  	1.09428E-12 	2.92281E-14	R
360210.3  	1.07629E-12 	2.87476E-14	R
360400.3  	1.08056E-12 	2.48807E-14	R
361644.5  	1.10776E-12 	2.75478E-14	R
362905.9  	1.06838E-12 	3.24726E-14	R
363856.3  	1.09862E-12 	2.83323E-14	R
363934.1  	1.08524E-12 	3.2985E-14	R
365333.8  	1.08155E-12 	3.3869E-14	R
366552    	1.07857E-12 	2.98019E-14	R
368444.2  	1.06671E-12 	2.94744E-14	R
369576    	1.05111E-12 	2.90432E-14	R
370759.7  	1.06966E-12 	3.15263E-14	R
535602.3  	8.02505E-13 	2.29132E-14	R
538142.4  	7.62865E-13 	2.45919E-14	R
540146.9  	7.31893E-13 	2.0897E-14	R
614122.6  	5.40913E-13 	2.44118E-14	R
615202.6  	5.16092E-13 	1.33095E-14	R
616628.2  	5.18952E-13 	1.19493E-14	R
617760    	5.22309E-13 	1.5394E-14	R
620032.3  	5.30063E-13 	1.75754E-14	R
622235.5  	4.85207E-13 	1.29599E-14	R
623928.9  	4.80316E-13 	1.06173E-14	R
625458.3  	5.09011E-13 	1.35957E-14	R
627842.9  	4.88795E-13 	1.21553E-14	R
630288    	4.80316E-13 	1.19445E-14	R
631661.8  	4.83423E-13 	1.6029E-14	R
633225.6  	4.74599E-13 	1.18023E-14	R
636024.9  	4.79432E-13 	1.54551E-14	R
638184.9  	4.62516E-13 	1.57618E-14	R
640759.7  	4.47432E-13 	2.01929E-14	R
700522.6  	3.8648E-13  	1.38825E-14	R
701179.2  	3.81529E-13 	1.01906E-14	R
703244.2  	3.92941E-13 	1.30288E-14	R
708557.8  	3.78728E-13 	8.72053E-15	R
709274.9  	3.76988E-13 	1.04165E-14	R
712687.7  	3.76988E-13 	1.1111E-14	R
713430.8  	3.79077E-13 	7.68114E-15	R
716705.3  	3.8188E-13  	1.02E-14	R
717448.3  	3.79426E-13 	1.18818E-14	R
720273.6  	3.76294E-13 	1.00508E-14	R
720973.4  	3.78031E-13 	1.63644E-14	R
725855.1  	3.66039E-13 	1.44968E-14	R
726580.8  	3.67728E-13 	1.28702E-14	R
727280.6  	3.88264E-13 	1.10857E-14	R
787069.4  	3.61117E-13 	1.72952E-14	R
787449.6  	3.45499E-13 	2.13205E-14	R
874627.2  	3.23331E-13 	1.36987E-14	R
878195.5  	3.13941E-13 	1.18552E-14	R
880744.3  	3.09633E-13 	9.12584E-15	R
959472    	3.05666E-13 	1.60472E-14	R
959601.6  	2.92366E-13 	8.88622E-15	R
963195.8  	3.00557E-13 	1.02425E-14	R
967982.4  	2.88621E-13 	9.83569E-15	R
971153.3  	2.79723E-13 	1.00477E-14	R
982039.7  	2.81791E-13 	1.2977E-14	R
1.04741E6 	2.46563E-13 	6.81277E-15	R
1.04818E6 	2.19001E-13 	1.91622E-14	R
1.0506E6  	2.50915E-13 	1.20173E-14	R
1.051E6   	2.50523E-13 	1.31522E-14	R
1.05395E6 	2.59613E-13 	1.19556E-14	R
1.05781E6 	2.38302E-13 	8.55988E-15	R
1.05883E6 	2.37863E-13 	8.98228E-15	R
1.06042E6 	2.42732E-13 	1.09546E-14	R
1.07006E6 	2.38741E-13 	1.31933E-14	R
1.13964E6 	2.21578E-13 	7.75509E-15	R
1.14242E6 	2.02138E-13 	2.8671E-14	R
1.14257E6 	2.5347E-13  	1.23731E-14	R
2.08386E6 	1.16715E-13 	4.62244E-15	R
2.08603E6 	1.2403E-13  	4.56944E-15	R
2.10119E6 	1.23347E-13 	2.84016E-15	R
2.17271E6 	1.19434E-13 	3.52008E-15	R
2.86182E6 	6.91269E-14 	5.73014E-15	R
