date	time	exp	mag	mag_err	band	source
2008-11-09	07:03:56.000	30.0	17.8	0.2	R	manual
2008-11-09	07:11:04.000	75.0	15.47	0.26	H	manual
2008-11-09	07:14:05.000	10.0	14.51	0.27	K	manual
2008-11-09	07:20:48.000	n/a	14.27	0.16	K	manual
2008-11-10	00:11:51.000	462.0	22.8	0.3	r'	manual
2008-11-10	00:11:51.000	462.0	21.8	0.15	i'	manual
2008-11-10	00:11:51.000	462.0	21.4	0.15	z'	manual
2008-11-10	00:12:00.000	480.0	20.4	0.1	J	manual
2008-11-10	00:12:00.000	480.0	19.7	0.15	H	manual
2008-11-10	00:12:00.000	480.0	18.9	0.2	K	manual
2008-11-10	01:32:06.000	7200.0	23.14	0.18	g'	manual
2008-11-10	01:32:06.000	7200.0	22.55	0.15	r'	manual
2008-11-10	01:32:06.000	7200.0	22.0	0.16	i'	manual
2008-11-10	01:32:06.000	7200.0	21.54	0.15	z'	manual
2008-11-10	01:32:06.000	7200.0	20.49	0.07	J	manual
2008-11-10	01:32:06.000	7200.0	19.56	0.06	H	manual
2008-11-10	01:32:06.000	7200.0	18.84	0.1	K	manual
