time_sec	flux	flux_err	band	logF	logT	mag	mag_err
120.497	1.0870547907899257e-12	2.0024289252325154e-13	R	-11.963748565630324	2.080976234465539	17.8	0.2
548.497	1.337185929518035e-12	3.459896282910453e-13	H	-11.873808201900607	2.7391742565469945	15.47	0.26
729.497	1.555661739337092e-12	4.358181710399262e-13	K	-11.808084829396174	2.8630235102306703	14.51	0.27
1132.497	1.9405068073875916e-12	3.8005751001164374e-13	K	-11.712084829396174	3.054037060234387	14.27	0.16
61795.497	1.3159647280780525e-14	3.636292122045379e-15	r'	-13.88075575100045	4.790956829469026	22.8	0.3
61795.497	2.7532479297382057e-14	3.838968880753534e-15	i'	-13.560154678665146	4.790956829469026	21.8	0.15
61795.497	3.4121168529326414e-14	4.878325010871641e-15	z'	-13.466976104200045	4.790956829469026	21.4	0.15
61804.497	2.880944882679849e-14	3.291029343446559e-15	J	-13.540465050423848	4.791020076241417	20.4	0.1
61804.497	2.7176391987812513e-14	4.603192061284697e-15	H	-13.565808201900605	4.791020076241417	19.7	0.15
61804.497	2.7284447920845705e-14	6.135948001998235e-15	K	-13.564084829396172	4.791020076241417	18.9	0.2
66610.497	1.215090796010559e-14	2.0465570844558434e-15	g'	-13.915391268787422	4.823542674064489	23.14	0.18
66610.497	1.656701437202267e-14	2.2891882326778364e-15	r'	-13.780755751000449	4.823542674064489	22.55	0.15
66610.497	2.2900518808196713e-14	3.402221348086053e-15	i'	-13.640154678665146	4.823542674064489	22.0	0.16
66610.497	2.9993275437859206e-14	4.288157528975432e-15	z'	-13.522976104200046	4.823542674064489	21.54	0.15
66610.497	2.65176448350716e-14	2.4766888699807575e-15	J	-13.576465050423847	4.823542674064489	20.49	0.07
66610.497	3.091660505556879e-14	3.478266113950057e-15	H	-13.509808201900606	4.823542674064489	19.56	0.06
66610.497	2.883468229197794e-14	4.570597519230628e-15	K	-13.540084829396173	4.823542674064489	18.84	0.1
