#time (min)	mag	err	band
	1.52	18.54	 0.68 	R
    1.54	19.50	 1.23 	R 
    1.64	18.12	 0.50 	R 
    1.74	17.99	 0.46 	R 
    1.84	18.07	 0.49 	R 
    1.94	18.60	 0.71 	R 
    2.04	19.37	 1.14 	R 
    2.14	18.82	 0.82 	R 
    2.24	17.63	 0.35 	R 
    2.34	18.58	 0.69 	R 
    2.44	18.54	 0.68 	R 
    2.76	17.84	 0.08 	R 
    3.28	18.00	 0.10 	R
    3.32	17.00	 0.20 	R
    3.51	16.90	 0.08 	R 
    4.26	17.61	 0.08 	R 
    5.02	18.09	 0.08 	R 
    5.77	18.37	 0.08 	R 
   11.33	14.87	 0.08 	R 
   13.08	14.35	 0.08 	R 
   14.83	14.12	 0.08 	R 
   16.58	14.02	 0.08 	R 
   18.34	14.20	 0.08 	R 
   20.09	14.28	 0.08 	R 
   22.33	14.52	 0.08 	R 
   24.08	14.53	 0.08 	R 
   25.83	14.71	 0.08 	R 
   27.59	14.79	 0.08 	R 
   29.34	14.97	 0.08 	R 
   31.08	15.07	 0.08 	R 
   36.86	15.45	 0.08 	R 
   40.12	15.66	 0.08 	R 
   43.36	15.86	 0.08 	R 
   46.61	15.83	 0.08 	R 
   49.86	15.98	 0.08 	R 
   53.10	16.13	 0.08 	R 
   56.81	16.22	 0.08 	R 
   60.06	16.14	 0.08 	R 
   58.95	16.40	 0.10 	R
   63.31	16.26	 0.08 	R 
   66.56	16.39	 0.08 	R 
   69.80	16.45	 0.08 	R 
   73.04	16.66	 0.08 	R 
   70.82	16.60	 0.10 	R
   76.48	16.56	 0.08 	R 
   79.72	16.56	 0.08 	R 
   82.98	16.79	 0.08 	R 
   86.22	16.68	 0.08 	R 
   89.47	16.76	 0.08 	R 
   88.78	16.90	 0.10 	R
   84.09	16.95	 0.03 	R
   92.72	16.94	 0.08 	R 
   96.42	16.90	 0.08 	R 
   99.66	17.06	 0.08 	R 
   97.63	17.10	 0.10 	R
  102.91	17.09	 0.08 	R 
  106.15	17.10	 0.08 	R 
  106.32	17.40	 0.10 	R
  109.41	17.04	 0.08 	R 
  112.65	17.21	 0.08 	R 
  109.38	17.20	 0.03 	R
  116.17	17.35	 0.08 	R 
  115.05	17.40	 0.10 	R
  119.43	17.28	 0.08 	R 
  122.67	17.37	 0.08 	R 
  125.92	17.53	 0.08 	R 
  123.80	17.41	 0.03 	R
  129.17	17.51	 0.08 	R 
  132.41	17.59	 0.08 	R 
  133.22	17.70	 0.10 	R
  135.83	17.69	 0.08 	R 
  139.08	17.72	 0.08 	R 
  139.45	17.70	 0.10 	R
  142.32	17.87	 0.08 	R 
  145.57	17.82	 0.08 	R 
  148.81	17.77	 0.08 	R 
  152.06	17.92	 0.08 	R 
  155.76	17.58	 0.08 	R 
  159.02	17.98	 0.08 	R 
  162.26	18.21	 0.08 	R 
  165.51	18.04	 0.08 	R 
  168.76	17.78	 0.15 	R 
  168.45	17.85	 0.06 	R
  172.01	17.87	 0.15 	R 
  175.42	17.88	 0.15 	R 
  178.67	17.96	 0.15 	R 
  181.92	17.96	 0.15 	R 
  185.16	17.88	 0.15 	R 
  188.42	17.95	 0.15 	R 
  195.22	17.98	 0.15 	R 
  204.97	18.16	 0.15 	R 
  208.21	18.13	 0.15 	R 
  218.42	18.25	 0.15 	R 
  633.14	19.88	 0.04 	R
  879.00	20.64	 0.05 	R
 1076.70	20.83	 0.07 	R
 1035.53	20.85	 0.05 	R
 1127.32	21.11	 0.05 	R
 1150.32	21.19	 0.08 	R
 1206.32	21.18	 0.10 	R
 2203.20	22.49	 0.12 	R
 2442.72	23.15	 0.31 	R 
 5590.72	24.91	 0.69 	R 
 7151.57	25.45	 0.38 	R 
