Time	Mag	MagErr	Filter	Source
107	19.9	0.4	White	9754
15476	19.9	0	I	9755	
19075	20.3	0	R	9755
37800	21	0	R	9761
104040	22.3	0.1	i	9766
151.0	19.53	0.14	white	9758
3470.5	21.03	0.33	white	9758
4366.5	19.87	0.3	v	9758
5170.5	21.1	0	b	9758
4979.0	20.8	0	u	9758
4777.0	20.7	0	uvw1	9758
4571.5	20.5	0	uvm2	9758
7870.0	21.6	0	uvw2	9758
