Time	Mag	MagErr	Filter	Telescope	Source
164.0	14.58	0.01	white	UVOT	starling09
726.0	16.73	0.07	white	UVOT	starling09
907.0	16.95	0.03	white	UVOT	starling09
5270.0	19.12	0.11	white	UVOT	starling09
6710.0	19.4	0.13	white	UVOT	starling09
78200.0	22.39	0.17	white	UVOT	starling09
180000.0	23.57	0.62	white	UVOT	starling09
423.0	14.93	0.01	v	UVOT	starling09
769.0	16.04	0.13	v	UVOT	starling09
1170.0	16.41	0.04	v	UVOT	starling09
5690.0	18.37	0.24	v	UVOT	starling09
7080.0	18.13	0.23	v	UVOT	starling09
18300.0	19.93	0.47	v	UVOT	starling09
78400.0	20.9	0.29	v	UVOT	starling09
915000.0	25.57	0.23	VJ	VLT	starling09
915000.0	25.64	0.25	VJ	VLT	starling09
38400.0	20.12	0.12	RC	NOT	starling09
58300.0	20.82	0.08	RC	VLT	starling09
58600.0	20.8	0.12	RC	VLT	starling09
817000.0	25.22	0.5	RC	WHT	starling09
915000.0	24.94	0.16	RC	VLT	starling09
915000.0	25.01	0.17	RC	VLT	starling09
1780000.0	25.75	0.44	RC	VLT	starling09
2640000.0	26.47	0.28	RC	VLT	starling09
39600.0	20.43	0.1	rr	LT	starling09
218000.0	22.86	0.13	rr	LT	starling09
302000.0	23.47	0.12	rr	INT	starling09
560000.0	24.56	0.28	rr	INT	starling09
916000.0	24.16	0.54	IC	VLT	starling09
43600.0	20.43	0.22	ii	LT	starling09
