Time     Mag    	MagErr      		Filter           Source
508      19.7           0.18                    white           6378
917      19.9           0.22                    white           6378
7469     20.4           0.28                    white           6378
1170.5   19.1           0.2                       V             6378
7879.5   19.3           0                        V             6378       
768.5    19.8           0.34                      B             6378
7297     20.4           0                        B             6378
768.5    20.1           0                        U             6378
790      20.4           0                        UVW1          6378
8061.5   19.6           0                        UVM2          6378
987      20.4           0                        UVW2          6378
