	Time	Mag	MagErr	Filter	System	Telescope	Source
0	2412.0	19.38	0.10	U	Vega	UVOT	9044
1	2628.0	19.58	0.16	i'	AB	GMOS	9044
2	5688.0	19.98	0.10	U	Vega	UVOT	9044
3	6084.0	20.80	0.11	U	Vega	UVOT	9044
4	10944.0	21.96	0.20	U	Vega	UVOT	9044
5	23040.0	21.52	0.24	U	Vega	UVOT	9044
6	26640.0	21.69	0.23	U	Vega	UVOT	9044
7	44388.0	22.67	0.24	U	Vega	UVOT	9044
8	57600.0	19.04	0.13	U	Vega	UVOT	9048
9	57960.0	19.56	0.14	white	Vega	UVOT	9048
10	138240.0	20.97	0.05	g'	Vega	2.2mESO/MPI	9054
11	138240.0	20.23	0.03	r'	Vega	2.2mESO/MPI	9054
12	138240.0	19.89	0.04	i'	Vega	2.2mESO/MPI	9054
13	138240.0	19.54	0.03	z'	Vega	2.2mESO/MPI	9054
14	138240.0	19.54	0.06	J	Vega	2.2mESO/MPI	9054
15	138240.0	19.02	0.06	H	Vega	2.2mESO/MPI	9054
16	138240.0	18.52	0.08	K	Vega	2.2mESO/MPI	9054
