Time	Mag	MagErr	Filter	Telescope	Source
33800	22.7	0.2	CR	MAO	watson06
41000	23	0.1	CR	TNG	watson06
52900	23.27	0.09	CR	VLT	watson06
54200	23	0.2	CR	NOT	watson06
56900	23.31	0.08	CR	VLT	watson06
60700	23.44	0.08	CR	VLT	watson06
62300	23.5	0.2	CR	D1.5	watson06
64500	23.5	0.9	CR	VLT	watson06
142000	23.9	0.2	CR	NOT	watson06
572000	25.3	0.4	CR	NOT	watson06
1120000	26	0.1	CR	Subaru	watson06
3700	18.6	0.2	J	UKIRT	watson06
3210	17.9	0.1	H	UKIRT	watson06
4170	18.1	0.2	H	UKIRT	watson06
4660	18	0.1	H	UKIRT	watson06
65200	20.3	0.1	H	CTIO4.0	watson06
2320	16.88	0.08	KS	UKIRT	watson06
2680	17.2	0.1	KS	UKIRT	watson06
1100000	21.5	100	KS	VLT	watson06
35.7	16.8	0.29	CR	ROTSE	rykoff05
68.6	17.59	0.34	CR	ROTSE	rykoff05
120.1	17.42	0.23	CR	ROTSE	rykoff05
167	17.88	0.25	CR	ROTSE	rykoff05
241.5	18.58	0.43	CR	ROTSE	rykoff05
388.5	18.6	100	CR	ROTSE	rykoff05
25050	22.33	0.35	VJ	ARIES	kamble09
25050	21.43	0.23	RC	ARIES	kamble09
23950	20.51	0.21	IC	ARIES	kamble09
3460	21.05	0.3	RC	SSO	depasquale06
3720	21.25	0.3	RC	SSO	depasquale06
4410	20.85	0.2	RC	SSO	depasquale06
4750	21.35	0.3	RC	SSO	depasquale06
5440	21.85	0.4	RC	SSO	depasquale06
6130	21.55	0.3	RC	SSO	depasquale06
7430	21.55	0.2	RC	SSO	depasquale06
8810	21.85	0.3	RC	SSO	depasquale06
10900	21.85	0.3	RC	SSO	depasquale06
12900	21.85	0.4	RC	SSO	depasquale06
14900	22.05	0.3	RC	SSO	depasquale06
20700	21.27	0.2	RC	ARIES	depasquale06
33700	21.97	0.2	RC	MAO	depasquale06
39700	22.47	0.4	RC	Loiano	depasquale06
40600	22.95	0.1	RC	TNG	depasquale06
