Time			Mag	MagErr	Filter	Source
169			19.2	0	White	9793
420		        21.62 	0.04	g'	9794
420			21.21 	0.04	r'	9794
420 			21.1	0	J	9794
420			19.2 	0	H	9794
4200			21.5	0	R	9809
37004         		16.2	0		9800
39349         		17.3	0		9800
452.5       		20.16 	0		u		9802
244.5          		20.70  0		wh		9802			
4236         		21.05   0.35		u		9802
4462         		21.30	0		b		9802
4093         		20.18	0		v		9802
4323.5			20.66	0		w1		9802
4208			20.5	0		m2		9802
4323.5			20.81	0		w2		9802		
3643.5			21.54   0.27		wh		9802
7788            	21.3	0		R	9806
7866            	21.0	0		I	9806
11105             	20.32	0	u	9807
8709              	20.30	0	w2	9807
917            	       19.8  0		I	9808
2063.5                 19.8  0		I	9808
3032.5                 20.0  0		I	9808
7574.5                 20.3  0		I	9808
68679				22.10	0.08	R	9818
4524      	          18.5  0            		I	9903             
5184   	   	           19.2  0    			R	9903
5796                         17.8  0    		I	9903
6318   	           		16.9  0   		R	9903
16920    		           20.1  0    		I	9903
18720                          20.8  0   		R	9903
89640   	 	           20.0  0     	R	9903
