Time    Mag    MagErr   Filter  Source
240    22.8    0    r    7231
240    21.5    0    i    7231
240    20.6    0    z    7231
240    18.9    0    J    7231
240    18.1    0    H    7231
240    17.0    0    K    7231
2640    22.93    0.06    R    7233
3000    22.86    0.05    R    7233
3360    22.78    0.04    R    7233
3720    22.56    0.04    R    7233
4080    22.87    0.05    R    7233
4199.5    21.3    0    v    7246
5216.0    22.2    0    b    7246
4568.0    21.5    0    u    7246
4315.0    21.3    0    uvw1    7246
4158.5    21.2    0    uvm2    7246
5505.0    21.7    0    uvw2    7246
4635.0    23.1    0    white    7246
