Time	Mag	MagErr	Filter	Telescope	Source
30.4	15.96	100	RC	RAPTOR	wozniak05
40.3	16.32	0.05	RC	RAPTOR	wozniak05
65.3	16.53	0.05	RC	RAPTOR	wozniak05
90.3	16.72	0.06	RC	RAPTOR	wozniak05
115	16.82	0.06	RC	RAPTOR	wozniak05
140	16.66	0.05	RC	RAPTOR	wozniak05
165	16.87	0.06	RC	RAPTOR	wozniak05
191	17.16	0.08	RC	RAPTOR	wozniak05	
215	17.02	0.08	RC	RAPTOR	wozniak05
240	17.08	0.1	RC	RAPTOR	wozniak05
265	17.01	0.09	RC	RAPTOR	wozniak05
300	17.13	0.06	RC	RAPTOR	wozniak05
345	17.31	0.07	RC	RAPTOR	wozniak05
390	17.18	0.05	RC	RAPTOR	wozniak05
435	17.36	0.06	RC	RAPTOR	wozniak05
480	17.14	0.05	RC	RAPTOR	wozniak05
525	17.53	0.07	RC	RAPTOR	wozniak05
570	17.7	0.07	RC	RAPTOR	wozniak05
615	17.64	0.07	RC	RAPTOR	wozniak05
660	17.68	0.07	RC	RAPTOR	wozniak05
705	17.95	0.09	RC	RAPTOR	wozniak05
750	17.92	0.09	RC	RAPTOR	wozniak05
795	17.95	0.09	RC	RAPTOR	wozniak05
840	17.95	0.09	RC	RAPTOR	wozniak05
885	17.91	0.09	RC	RAPTOR	wozniak05
930	18.11	0.1	RC	RAPTOR	wozniak05
978	17.87	0.09	RC	RAPTOR	wozniak05
1025	18.24	0.12	RC	RAPTOR	wozniak05
1065	17.9	0.09	RC	RAPTOR	wozniak05
1115	18.02	0.09	RC	RAPTOR	wozniak05
1155	18.27	0.12	RC	RAPTOR	wozniak05
2545	19	0.08	RC	RAPTOR	wozniak05
2795	19.11	0.1	RC	RAPTOR	wozniak05
166.5	15.97	0.14	CR	ROTSE	quimby05
181.5	16.31	0.19	CR	ROTSE	quimby05
195.5	16.18	0.15	CR	ROTSE	quimby05
209.5	16.31	0.16	CR	ROTSE	quimby05
224.5	16.86	0.29	CR	ROTSE	quimby05
238.5	16.22	0.15	CR	ROTSE	quimby05
260.5	16.67	0.36	CR	ROTSE	quimby05
282.5	16.43	0.18	CR	ROTSE	quimby05
296.5	16.62	0.24	CR	ROTSE	quimby05
319	16.89	0.13	CR	ROTSE	quimby05
348	16.67	0.1	CR	ROTSE	quimby05
378	16.79	0.15	CR	ROTSE	quimby05
420.5	16.95	0.15	CR	ROTSE	quimby05
466	16.96	0.22	CR	ROTSE	quimby05
510.5	17.1	0.14	CR	ROTSE	quimby05
555	17.05	0.18	CR	ROTSE	quimby05
584	17.07	0.2	CR	ROTSE	quimby05
634	17.44	0.16	CR	ROTSE	quimby05
703	17.46	0.2	CR	ROTSE	quimby05
772	17.45	0.2	CR	ROTSE	quimby05
842	17.78	0.24	CR	ROTSE	quimby05
911	17.42	0.16	CR	ROTSE	quimby05
1015	18	0.2	CR	ROTSE	quimby05
1120	17.93	0.28	CR	ROTSE	quimby05
1190	18.11	0.34	CR	ROTSE	quimby05
1260	17.99	0.31	CR	ROTSE	quimby05
1365	18.29	0.28	CR	ROTSE	quimby05
1555	18.32	0.21	CR	ROTSE	quimby05
1915	18.29	0.29	CR	ROTSE	quimby05
2405	19.5	0.29	CR	ROTSE	quimby05
2960	18.84	0.25	CR	ROTSE	quimby05
3445	18.7	0.15	CR	ROTSE	quimby05
4040	18.72	0.14	CR	ROTSE	quimby05
463	18.67	0.31	CR	ROTSE	quimby05
102	17.03	0.22	v	UVOT	mason06
127	16.99	0.21	v	UVOT	mason06
152	16.67	0.17	v	UVOT	mason06
177	17.28	0.26	v	UVOT	mason06
319	17.21	0.28	v	UVOT	mason06
506	17.56	0.34	v	UVOT	mason06
788	18.7	0.69	v	UVOT	mason06
1250	18.54	0.35	v	UVOT	mason06
7090	19.65	0.29	v	UVOT	mason06
18700	20.35	0.57	v	UVOT	mason06
30200	20.07	0.42	v	UVOT	mason06
41800	20.09	0.43	v	UVOT	mason06
243	18.24	0.38	b	UVOT	mason06
333	18.17	0.36	b	UVOT	mason06
428	18.73	0.52	b	UVOT	mason06
522	19.19	0.86	b	UVOT	mason06
756	19.42	0.48	b	UVOT	mason06
1040	18.76	0.17	b	UVOT	mason06
1640	19.5	100	b	UVOT	mason06
5370	20.63	0.25	b	UVOT	mason06
17000	21.54	0.6	b	UVOT	mason06
28500	21.27	0.47	b	UVOT	mason06
40100	21.5	100	b	UVOT	mason06
51600	21.5	100	b	UVOT	mason06
5200	20.44	0.12	BJ	Kiso	huang07
15100	21.04	0.16	BJ	Kiso	huang07
19600	21.41	0.26	BJ	Kiso	huang07
24000	20.92	0.12	BJ	Kiso	huang07
7290	20.61	0.09	BJ	Lulin	huang07
11500	20.9	0.12	BJ	Lulin	huang07
18900	21.09	0.07	BJ	Lulin	huang07
25800	21	0.1	BJ	Lulin	huang07
6940	19.75	0.07	VJ	Lulin	huang07
8330	19.66	0.06	VJ	Lulin	huang07
11200	19.96	0.08	VJ	Lulin	huang07
12600	20.01	0.08	VJ	Lulin	huang07
14000	20.08	0.09	VJ	Lulin	huang07
15400	20.16	0.11	VJ	Lulin	huang07
16800	20.15	0.09	VJ	Lulin	huang07
18200	20.28	0.08	VJ	Lulin	huang07
22200	20.42	0.11	VJ	Lulin	huang07
26400	20.81	0.16	VJ	Lulin	huang07
30300	20.44	0.08	VJ	Lulin	huang07
30600	20.36	0.09	VJ	Lulin	huang07
31000	20.55	0.1	VJ	Lulin	huang07
31300	20.37	0.08	VJ	Lulin	huang07
34000	20.62	0.06	VJ	Lulin	huang07
34300	20.42	0.06	VJ	Lulin	huang07
34600	20.68	0.12	VJ	Lulin	huang07
