Time      Mag   	 MagErr       		Filter           	    Source
703.45    22.6            0                    Unfiltered         7007
4650.85   23.7            0                    Unfiltered         7007
1591      19.4            0                      G                6975
1591      19.1            0                      Rc               6975
1591      18.7            0                      Ic               6975
7019      20.3            0                      G                6975
7019      19.6            0                      Rc               6975
7019      19.3            0                      IC               6975
2592       20.32          0                     white             6962
4968      20.85           0                     R                 6962
11700     21.69           0                     R                 6962
