Time	Mag	MagErr	Filter	Source
195	19.93	0.19	White	12256
10800	21.2	0	R	12258
195.0	19.88	0.14	white_swift	12264
308.0	18.48	0.23	white_swift	12264
4096.0	20.17	0.16	white_swift	12264
619.0	18.7	0	v_swift	12264
545.0	18.64	0.32	b_swift	12264
403.5	18.28	0.09	u_swift	12264
693.0	17.48	0.25	u_swift	12264
6162.0	20.62	0	u_swift	12264
668.0	17.8	0	w1_swift	12264
595.0	18.3	0	w2_swift	12264
