Time(s)    Mag(AB)    MagErr    Filter    System    GalExtCorr    Source
56.7    15.9    0    B    AB    no    arxiv1011.0113
56.7    14.7    0    R    AB    no    arxiv1011.0113
180.0    18.2    0    B    AB    no    arxiv1011.0113
180.0    17.1    0    R    AB    no    arxiv1011.0113
576.0    19.7    0    U    AB    no    arxiv1011.0113
577.0    18.4    0    V    AB    no    arxiv1011.0113
633.0    19.1    0    B    AB    no    arxiv1011.0113
570.0    20.6    0    V    AB    no    arxiv1011.0113
900.0    20.1    0    V    AB    no    arxiv1011.0113
1080.0    20.7    0    V    AB    no    arxiv1011.0113
1200.0    21.7    0    V    AB    no    arxiv1011.0113
3950.0    20.23    0.09    I    AB    no    arxiv1011.0113
7339.0    18.9    0    Ic    AB    no    arxiv1011.0113
15560.0    21.9    0    R    AB    no    arxiv1011.0113
19160.0    22.6    0    R    AB    no    arxiv1011.0113
22566.0    21.4    0    V    AB    no    arxiv1011.0113
128796.0    21.73    0.21    I    AB    no    arxiv1011.0113
129104.0    21.28    0.08    I    AB    no    arxiv1011.0113
129521.0    21.15    0.07    I    AB    no    arxiv1011.0113
157680.0    21.3    0    I    AB    no    arxiv1011.0113
215661.0    23.71    0.2    R    AB    no    arxiv1011.0113
219235.0    22.59    0.12    I    AB    no    arxiv1011.0113
302676.0    23.7    0    I    AB    no    arxiv1011.0113
28000000    26    0    R    AB    no    arxiv1011.0113
