Time      Mag    	MagErr       		Filter           Source
202.4     16.2            0                      R              5345
64        18.2            0                      J              5356
64        17.8            0                      H              5356
137       19.84           0                     white           5351
392       19.21           0                      V              5351
1207      21.68           0                     white           5351
1125.5    20.27           0                     V               5351
1318      21.15           0                      B              5351
862       19.88           0                      U              5351
1078      20.52           0                      UVW1           5351
1237.5    21.15           0                      UVM2           5351
1478      21.18           0                      UVW2           5351
2730      25.5            0                       R             5347
