Time	Mag	MagErr	Filter		Source
219	18.0	0	V		4509
3281	18.1	0	Unfiltered	4511
844.5	19.5	0	V_swift		4516
684.0	20.4	0	B_swift		4516
1154.0	19.3	0	U_swift		4516
1207.5	19.4	0	W1_swift	4516
1190.0	19.5	0	M2_swift	4516
1143.0	19.7	0	W2_swift	4516
1118.0	19.8	0	White_swift	4516
2040	19.2	0.4	Rc		4517
2040	18.5	0.5	Ic		4517
1140	19.1	0.5	Rc		4517
1140	17.9	0.4	Ic		4517
2880	19.1	0	Rc		4517
2880	19.0	0	Ic		4517
40200	17.7	0	R		4526
40600	15.1	0	H		4526
48960	21.5	0	r'		4530
