Time	Mag	MagErr	Filter    Source
218	19.6	0	White_swift	11603
163.6	16.4	0	R    11604
208.7	16.4	0	R    11604
253.9	15.9	0	R    11604
299.0	15.9	0	R    11604
344.2	16.9	0	R    11604
4392.0	22.2	0	R    11605
219.0	20.98	0.29	wh(FC)_swift	11612
427.0	20.32	0.35	u(FC)_swift	11612
3467.0	21.89	0	wh_swift	11612
3697.5	20.09	0	v_swift    11612
3325.0	20.95	0	u_swift    11612
3353.0	21.32	0	b_swift    11612
3210.0	20.34	0	uvw1_swift	11612
3766.0	20.43	0	uvm2_swift	11612
3583.0	20.88	0	uvw2_swift	11612
126.15	18.0	0	R    11613
276.45	18.7	0	R    11613
15732.0	21.8	0.4	J    11615
54525.3	20.6	0	g'    11618
54525.3	20.3	0	Rc    11618
54525.3	19.8	0	Ic    11618
