Time    Mag    MagErr    Filter    Source
21.13    18.0    0.3    Unfiltered    5619
65.4    20.3    0.5    R    5623
89.7    20.6    0.5    R    5623
102.7    20.7    0.7    R    5623
210.7    21.0    0.7    R    5623
161.2    21.1    0.7    R    5623
767    20.1    0    UVW2    5625
1146.0    UVM2    20.4    0    5625
995    20.8    0    U    5625
746    20.6    0    B    5625
91    17.5    0.3    R    5632
218    18.2    0.3    R    5632
448    18.3    0.3    R    5632
743    18.7    0.3    R    5632
1417    19.7    0    R    5632
91    17.3    0.3    Unfiltered    5901
165    18.5    0.3    Unfiltered    5901
343    19.3    0.3    Unfiltered    5901
432    18.9    0.3    Unfiltered    5901
519    18.5    0.3    Unfiltered    5901
608    18.3    0.3    Unfiltered    5901
707    18.4    0.3    Unfiltered    5901
804    18.7    0.3    Unfiltered    5901
1001    20    0.3    Unfiltered    5901
1200    20.1    0.3    Unfiltered    5901
1298    20.1    0.3    Unfiltered    5901
