z=   2.6919999e+00 0.
Total_Energy(erg)    1.1085387812326464e+06    7.0282424965912080e+05
       576013.75       804969.77   8.9081582710663903e+08            -NaN                     -NaN
            -NaN       804969.77   1.1182782435499445e+08            -NaN                     -NaN
            -NaN       804969.77                     -NaN       804822.45   8.0496976802829653e+05
       25094861.       678101.99   8.0361550742660894e+05       803622.96   8.0496976802829653e+05
       4385756.8            -NaN   8.0331370631183754e+05       802849.54   8.0496976802829653e+05
            -NaN       804969.77   3.9269684412934721e+07       183639.90   8.0312680891707120e+05
       800405.27       804969.77   1.2323038384083910e+07            -NaN   7.9951826121160563e+05
       798186.29       804969.77                     -NaN       804969.77   8.0496976802829653e+05
       804969.77       804969.77   8.0496976802829653e+05       804969.77   8.0496976802829653e+05
       804969.77       804969.77   8.0496976802829653e+05       804969.77   1.2569991392531404e+09
            -NaN   1.3996209e+08   8.0496976802829653e+05            -NaN   1.2839002370362432e+10
   1.5580984e+08   1.7124280e+08   8.0496976802829653e+05   4.7009528e+10                     -NaN
            -NaN       804969.77   2.4900634342694795e+08            -NaN                     -NaN
            -NaN       804969.77                     -NaN       795036.37   8.0496976802829653e+05
            -NaN       30871493.   8.8893202310569410e+05       867705.81   8.0496976802829653e+05
            -NaN       804969.77   5.7058372166955300e+07            -NaN   7.3251441296844149e+05
       698404.90       804969.77                     -NaN       804969.77   8.0496976802829653e+05
       804969.77       804969.77   8.0496976802829653e+05       804969.77   6.4468114819631615e+09
       78277444.       80013111.   8.0496976802829653e+05   1.7956236e+10                     -NaN
            -NaN       804969.77                     -NaN       661436.35   8.0496976802829653e+05
            -NaN       804969.77                     -NaN       804969.77
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    7.7708560893281842e+01    6.9732666879254421e+03
