#Tmid [s]	Terr [s]	AB Mag	AB err
288.6	23.2	18.75	0.03
397.4	23.1	18.54	0.02
508.9	23.2	18.20	0.02
620.4	23.2	18.02	0.02
823.4	68.5	18.05	0.02
1023.8	68.5	17.97	0.01
1224.3	68.5	18.00	0.02
1427.3	68.4	18.02	0.02
1831.7	68.5	18.11	0.01
2033.0	68.5	18.23	0.02
2236.0	68.5	18.30	0.01
2440.8	68.5	18.39	0.02
2635.2	23.0	18.44	0.07
2743.2	23.0	18.48	0.02
2853.8	23.0	18.50	0.03
2965.2	23.0	18.54	0.04
3112.1	23.0	18.64	0.03
3220.1	22.9	18.66	0.02
3330.7	23.0	18.70	0.02
3442.2	23.0	18.73	0.07
3634.0	68.5	18.80	0.03
3833.6	68.5	18.84	0.02
4035.7	68.5	18.88	0.02
4239.6	68.5	18.92	0.02
4453.9	68.5	18.95	0.04
4655.2	68.5	18.94	0.02
4858.3	68.5	18.94	0.02
5063.0	68.5	18.94	0.02
5279.0	68.5	18.99	0.02
5480.4	68.5	19.00	0.02
5682.5	68.5	19.03	0.02
5885.6	68.5	19.08	0.02
6327.9	68.5	19.11	0.03
6530.1	68.5	19.11	0.02
6732.3	68.5	19.16	0.02
6935.3	68.5	19.19	0.02
7208.4	68.5	19.27	0.02
7409.7	68.4	19.27	0.02
7611.0	68.5	19.26	0.01
7815.7	68.5	19.33	0.02
8196.8	68.5	19.35	0.03
8397.2	68.5	19.44	0.02
8599.4	68.5	19.47	0.02
8801.6	68.5	19.47	0.02
9045.2	68.5	19.48	0.03
9244.8	68.5	19.53	0.03
9446.1	68.5	19.51	0.02
9650.0	68.4	19.58	0.03
9887.6	68.5	19.62	0.03
10086.3	68.5	19.60	0.02
10291.1	68.5	19.61	0.03
10495.9	68.5	19.64	0.02
10874.3	203.0	19.69	0.02
11358.1	203.0	19.76	0.02
11841.1	203.0	19.82	0.02
12327.6	203.0	19.86	0.02
13153.5	203.0	19.87	0.02
13637.4	202.9	19.86	0.02
14123.8	203.0	19.88	0.02
14606.8	203.0	19.87	0.02
15104.4	203.0	19.91	0.03
15588.3	203.0	19.88	0.03
16071.3	203.0	19.93	0.03
16558.6	203.0	19.93	0.02
17069.2	203.0	19.96	0.04
17555.6	203.0	19.95	0.04
18038.6	203.0	20.00	0.05
18525.0	202.9	20.00	0.04
19027.0	203.0	20.02	0.05
19515.2	203.0	20.06	0.04
20001.6	203.0	20.11	0.04
20488.0	202.8	20.16	0.04
21766.8	930.9	20.32	0.05
23742.7	929.8	20.39	0.05
25717.0	931.8	20.46	0.06
