#Tmid [s]	Terr [s]	AB Mag	AB err
288.6	23.2	18.64	0.05
397.4	23.1	18.43	0.03
508.9	23.2	18.07	0.03
620.4	23.2	17.91	0.02
823.4	68.5	17.91	0.02
1023.8	68.5	17.86	0.02
1224.3	68.5	17.83	0.02
1427.3	68.4	17.89	0.01
1831.7	68.5	17.97	0.04
2033.0	68.5	18.14	0.02
2236.0	68.5	18.19	0.05
2440.8	68.5	18.26	0.02
2635.2	23.0	18.32	0.07
2743.2	23.0	18.40	0.03
2853.8	23.0	18.43	0.03
2965.2	23.0	18.38	0.07
3112.1	23.0	18.52	0.07
3220.1	22.9	18.55	0.03
3330.7	23.0	18.61	0.04
3442.2	23.0	18.59	0.10
3634.0	68.5	18.66	0.04
3833.6	68.5	18.75	0.02
4035.7	68.5	18.72	0.03
4239.6	68.5	18.84	0.03
4453.9	68.5	18.82	0.06
4655.2	68.5	18.87	0.04
4858.3	68.5	18.84	0.04
5063.0	68.5	18.88	0.03
5279.0	68.5	18.92	0.04
5480.4	68.5	18.90	0.03
5682.5	68.5	18.97	0.03
5885.6	68.5	18.95	0.03
6327.9	68.5	18.98	0.03
6530.1	68.5	19.04	0.03
6732.3	68.5	19.06	0.03
6935.3	68.5	19.05	0.03
7208.4	68.5	19.11	0.04
7409.7	68.4	19.13	0.03
7611.0	68.5	19.17	0.03
7815.7	68.5	19.23	0.03
8196.8	68.5	19.27	0.05
8397.2	68.5	19.31	0.03
8599.4	68.5	19.29	0.03
8801.6	68.5	19.35	0.03
9045.2	68.5	19.34	0.04
9244.8	68.5	19.41	0.03
9446.1	68.5	19.42	0.04
9650.0	68.4	19.40	0.03
9887.6	68.5	19.42	0.04
10086.3	68.5	19.49	0.10
10291.1	68.5	19.48	0.05
10495.9	68.5	19.51	0.03
10874.3	203.0	19.56	0.03
11358.1	203.0	19.60	0.02
11841.1	203.0	19.65	0.03
12327.6	203.0	19.71	0.02
13880.2	929.5	19.73	0.02
15831.1	929.9	19.77	0.03
17797.5	931.0	19.84	0.03
19758.0	933.5	19.96	0.04
21766.8	930.9	20.11	0.05
23742.7	929.8	20.19	0.07
25717.0	931.8	20.17	0.06
