#Tmid [s]	Terr [s]	AB Mag	AB err
286.9	20.6	18.06	0.07
335.0	20.6	17.88	0.06
387.7	13.1	17.76	0.05
419.0	13.1	17.67	0.04
450.3	13.1	17.62	0.04
498.6	13.1	17.56	0.04
529.8	13.1	17.43	0.03
560.9	13.1	17.40	0.04
610.2	13.1	17.34	0.05
641.3	13.1	17.39	0.05
672.4	13.1	17.34	0.06
766.7	12.8	17.27	0.05
798.5	12.7	17.34	0.05
830.8	12.9	17.25	0.04
862.5	12.7	17.33	0.05
894.2	12.9	17.27	0.04
927.0	12.9	17.29	0.04
968.9	12.7	17.26	0.04
1000.6	12.7	17.23	0.04
1032.0	12.7	17.24	0.04
1064.0	12.7	17.28	0.04
1095.6	12.7	17.19	0.04
1127.1	12.8	17.23	0.04
1169.0	12.8	17.21	0.04
1200.6	12.7	17.23	0.04
1232.0	12.7	17.31	0.04
1263.5	12.7	17.21	0.04
1295.5	13.1	17.30	0.04
1327.6	12.7	17.22	0.04
1370.7	12.7	17.23	0.04
1402.6	12.8	17.29	0.04
1434.5	12.7	17.32	0.04
1466.5	12.7	17.31	0.04
1498.1	12.7	17.31	0.04
1530.3	12.7	17.34	0.04
1775.3	12.7	17.39	0.05
1807.2	12.7	17.39	0.04
1839.3	12.7	17.41	0.04
1871.5	12.7	17.43	0.04
1903.7	13.0	17.45	0.05
1936.2	12.7	17.48	0.05
2057.2	92.1	17.53	0.03
2259.5	92.8	17.64	0.03
2464.1	93.0	17.80	0.04
2656.5	45.7	17.78	0.06
2765.0	45.9	17.74	0.03
2876.0	45.6	17.87	0.11
2986.9	45.6	17.84	0.06
3133.7	45.7	17.87	0.07
3242.0	45.8	17.99	0.06
3352.0	45.3	18.11	0.06
3463.8	45.5	18.15	0.07
3656.5	91.6	18.19	0.06
3856.9	92.3	18.28	0.05
4058.7	92.6	18.31	0.04
4263.2	93.1	18.31	0.04
4477.8	93.1	18.30	0.04
4679.2	92.0	18.32	0.05
4881.9	93.1	18.37	0.07
5085.9	92.7	18.40	0.05
5303.2	93.0	18.50	0.05
5504.9	92.4	18.43	0.04
5705.4	91.6	18.54	0.05
5908.3	92.0	18.59	0.08
6655.0	396.8	18.59	0.04
7536.4	396.0	18.77	0.05
8522.1	394.4	19.00	0.05
9370.0	394.5	19.05	0.04
10215.3	397.6	19.09	0.03
11629.2	959.1	19.26	0.02
13907.7	957.9	19.38	0.04
15859.2	958.8	19.50	0.05
17824.8	959.5	19.55	0.06
19786.6	961.9	19.58	0.08
21794.8	957.6	19.71	0.08
23769.1	957.4	19.92	0.12
25745.3	961.1	19.82	0.13
