z=   2.6919999e+00 0.
Total_Energy(erg)    8.6829933656356751e+05    3.3490637115488295e+05
       323147.88       385129.75   2.7260332775393373e+08            -NaN                     -NaN
       343088.30       385129.75                     -NaN       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385092.66   3.8512974961716036e+05
       7546035.7       380425.35   3.7845112651759788e+05       385106.18   3.8512974961716036e+05
            -NaN       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75   7.4288782263192805e+06       381538.58   3.7296427867683518e+05
       385083.57       385129.75                     -NaN       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75   8.3781171058475137e+07
       98034889.       5801904.0   3.8512974961716036e+05   6.2788226e+09   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75                     -NaN
       360575.47       385129.75                     -NaN       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       367603.67   3.8512974961716036e+05
            -NaN       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75                     -NaN       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75   3.8512974961716036e+05
       385129.75       385129.75   3.8512974961716036e+05       385129.75
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    7.7708560893281842e+01    6.9732666879254421e+03
