z=   2.6919999e+00 0.
Total_Energy(erg)    1.2558072384054856e+06    3.8254270364387234e+05
       340353.04       447224.60   2.1261568403172702e+08       3312681.1                     -NaN
       501319.45       447224.60                     -NaN            -NaN   4.1955722533383546e+05
            -NaN       447224.60                     -NaN       447167.96   4.4722460250908200e+05
       5734611.1       455266.26   4.4668303540381708e+05       447261.50   4.4722460250908200e+05
            -NaN       421473.32   4.4720696649599652e+05       446972.52   4.4722460250908200e+05
            -NaN       447224.60   6.1983702286218796e+06       451432.39   4.4601333534348750e+05
       447273.20       447224.60                     -NaN       391719.30   4.4720555285938876e+05
       446640.19       447224.60                     -NaN       447224.60   4.4722460250908200e+05
       447224.60       447224.60   4.4722460250908200e+05       447224.60   4.4722460250908200e+05
       447224.60       447224.60   4.4722460250908200e+05       447224.60                     -NaN
       18497486.            -NaN   4.4722460250908200e+05   4.5371609e+09   1.2871529227318051e+08
       3556977.1       12812142.   4.4722460250908200e+05   1.2258619e+09                     -NaN
            -NaN       447224.60                     -NaN            -NaN   6.1171939507988433e+05
            -NaN       447224.60                     -NaN       446583.90   4.4722460250908200e+05
            -NaN            -NaN   4.4791764336033922e+05       428945.83   4.4722460250908200e+05
            -NaN       447224.60                     -NaN            -NaN   4.4735155149613577e+05
       442618.89       447224.60                     -NaN       447224.60   4.4722460250908200e+05
       447224.60       447224.60   4.4722460250908200e+05       447224.60                     -NaN
       3164515.2            -NaN   4.4722460250908200e+05            -NaN                     -NaN
            -NaN       447224.60                     -NaN       437952.34   4.4722460250908200e+05
            -NaN       447224.60                     -NaN       447224.60
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    7.8169015942144114e+01    6.9656014656414409e+03
