Time	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
390.5	21.73	0.36	White_swift	AB	Swift/UVOT	no	7150
482	20.46	0	V_swift	AB	Swift/UVOT	no	7150
877.5	21.01	0	B_swift	AB	Swift/UVOT	no	7150
763	20.33	0	U_swift	AB	Swift/UVOT	no	7150
743.5	20.17	0	UVW1_swift	AB	Swift/UVOT	no	7150
1194.5	21	0	UVM2_swift	AB	Swift/UVOT	no	7150
912.5	20.65	0	UVW2_swift	AB	Swift/UVOT	no	7150
25103.5	23.24	0.08	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
291282.9	23.88	0.17	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
541546.6	23.71	0.16	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
885418.6	24.02	0.21	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
1674680	23.64	0.14	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
1836120.1	23.91	0.19	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
2265213.6	23.83	0.31	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
3478568.5	23.69	0.13	RC	VEGA	VLT/FORS2	no	arxiv0901.4038
25103.52	24.17	0.12	R	AB	ESO-VLT/FORS2	yes	arxiv1907.10091
291282.912	25.39	0	R	AB	ESO-VLT/FORS2	yes	arxiv1907.10091
541546.56	24.83	0	R	AB	ESO-VLT/FORS2	yes	arxiv1907.10091
885418.56	25.01	0	R	AB	ESO-VLT/FORS2	yes	arxiv1907.10091
1674679.968	25.23	0	R	AB	ESO-VLT/FORS2	yes	arxiv1907.10091
1836120.096	25.32	0	R	AB	ESO-VLT/FORS2	yes	arxiv1907.10091
23430.816	24.03	0.04	r	AB	Gemini-South	yes	arxiv1907.10091
23047.2	23.26	0.04	i	AB	Gemini-South	yes	arxiv1907.10091
20649.6	22.47	0.07	z	AB	Gemini-South	yes	arxiv1907.10091
371847.456	26.72	0	r	AB	Gemini-South	yes	arxiv1907.10091
373324.896	25.23	0	i	AB	Gemini-South	yes	arxiv1907.10091
370930.752	24.1	0	z	AB	Gemini-South	yes	arxiv1907.10091
639272.736	26.85	0	r	AB	Gemini-South	yes	arxiv1907.10091
