Time(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
17888.5	21.8	0	UVM2_swift	VEGA	Swift/UVOT	no	7112
23728.5	21.2	0	V_swift	VEGA	Swift/UVOT	no	7112
2902	18.5	0	White_swift	VEGA	Swift/UVOT	no	7099
29601.5	22.4	0	UVW1_swift	VEGA	Swift/UVOT	no	7112
30086.5	22.2	0	U_swift	VEGA	Swift/UVOT	no	7112
32682	22.9	0	White_swift	VEGA	Swift/UVOT	no	7112
32689.5	22.5	0	B_swift	VEGA	Swift/UVOT	no	7112
33486.5	22.1	0	UVW2_swift	VEGA	Swift/UVOT	no	7112
34884	23.3	0	R	USNO	Gemini-South	no	7105
37440	20	0	I	USNO	TAROT-robotic	yes	7108
39030	21	0	i	AB	Swope-40inch	no	7104
