Time(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
240	22.8	0	r	USNO	2.2m-MPI/ESO	no	7231
240	21.5	0	i	USNO	2.2m-MPI/ESO	no	7231
240	20.6	0	z	USNO	2.2m-MPI/ESO	no	7231
240	18.9	0	J	USNO	2.2m-MPI/ESO	no	7231
240	18.1	0	H	USNO	2.2m-MPI/ESO	no	7231
240	17	0	K	USNO	2.2m-MPI/ESO	no	7231
2640	22.93	0.06	R	DSS	Gemini-South	no	7233
3000	22.86	0.05	R	DSS	Gemini-South	no	7233
3360	22.78	0.04	R	DSS	Gemini-South	no	7233
3720	22.56	0.04	R	DSS	Gemini-South	no	7233
4080	22.87	0.05	R	DSS	Gemini-South	no	7233
4158.5	21.2	0	UVM2	AB	Swift/UVOT	no	7246
4199.5	21.3	0	V	AB	Swift/UVOT	no	7246
4315	21.3	0	UVW1	AB	Swift/UVOT	no	7246
4568	21.5	0	U	AB	Swift/UVOT	no	7246
4635	23.1	0	White	AB	Swift/UVOT	no	7246
5216	22.2	0	B	AB	Swift/UVOT	no	7246
5505	21.7	0	UVW2	AB	Swift/UVOT	no	7246
