Filter       T_start(s)  T_stop(s)  Exp(s)        Mag

white (fc)       95        245        147     14.52+-0.02
white           589        609         19     14.44+-0.04
white           762        782         19     14.71+-0.04
white           858       1008        147     14.81+-0.02
white          1161       1354         38     15.07+-0.04
white          1510       1529         19     15.23+-0.04
white          6449       6649        197     15.28+-0.01
white         23966      24662        677     17.14+-0.01
v               639       1579        116     15.12+-0.04
b               564       1505         97     15.37+-0.03
u               308       1479        323     14.00+-0.03
w1              688       1455         77     14.71+-0.05
m2              663       1598         88     14.98+-0.06
w2              615       1555        116     15.12+-0.05
