#t(s) m em flujo(mJy) eflujo(mJy) filtro
43.2 15.0 0.2 3.631 0.7262 r
#  1313.28 15.26 0.03 2.85776326238 0.0857328978715 Ic
1486.08 16.57 0.03 0.855118394983 0.0256535518495 Rc
#  10972.8 18.27 0.15 0.178659555406 0.0267989333109 I
#  11318.4 18.76 0.23 0.11376960465 0.0261670090695 I
#  11404.8 18.41 0.084 0.157045772049 0.0131918448521 I
#  11750.4 18.4 0.12 0.158498898686 0.0190198678424 I
12441.6 19.65 0.2 0.0501217526477 0.0100243505295 R
12787.2 19.51 0.13 0.0570198734254 0.0074125835453 R
#  13305.6 18.86 0.09 0.10375911263 0.00933832013669 i
#  13651.2 18.35 0.13 0.165968721649 0.0215759338144 I
13737.6 19.65 0.1 0.0501217526477 0.00501217526477 r
#  14169.6 18.91 0.16 0.0990891832938 0.015854269327 I
#  14428.8 18.79 0.09 0.110669067073 0.00996021603661 I
18748.8 20.06 0.47 0.0343578713292 0.0161481995247 R
20044.8 20.01 0.03 0.0359771079191 0.00107931323757 r
#  20044.8 19.3 0.02 0.0691872786692 0.00138374557338 i
#  22291.2 19.05 0.09 0.0871016232896 0.00783914609606 Ic
24796.8 19.91 0.11 0.0394481143935 0.00433929258329 Rc
#  27302.4 19.31 0.13 0.0685529658857 0.00891188556514 Ic
#  29462.4 19.51 0.22 0.0570198734254 0.0125443721536 Ic
191808.0 21.92 0.12 0.00619478515447 0.000743374218536 r
#  191808.0 21.38 0.09 0.0101865295394 0.000916787658546 i
221184.0 21.44 0.16 0.00963887279553 0.00154221964729 R
278208.0 22.4 0.14 0.0039813123302 0.000557383726227 r
#  278208.0 21.73 0.1 0.00737948830671 0.000737948830671 i
73.99296 15.45 0.02 2.39897790972 0.0479795581943 w
#  616.032 16.29 0.16 1.10669067073 0.177070507317 v
#  541.728 16.78 0.12 0.704735662154 0.0845682794585 b
#  285.984 15.87 0.04 1.62939451085 0.0651757804339 u
#  666.144 18.54 0.31 0.139324100838 0.0431904712599 w1
#  20044.8 18.78 0.05 0.111693075343 0.00558465376716 Z
#  20044.8 18.48 0.06 0.147240149221 0.00883440895328 Y
#  20044.8 18.13 0.06 0.203247985103 0.0121948791062 J
#  20044.8 17.63 0.05 0.322126347971 0.0161063173985 H
