time, mag, err, band,gcn
2002 April 6 01:34 UT, 20.2, 0.3, V, 1328
2002 Apr 5.95 UT, 18.8, 0.14, R, 1335
2002 April 7.14, 21.45, 0.1, V, 1337
2002 April 8.164, 22.0, 0.1, V, 1345
