Time      Mag    MagErr       Band           GCN
493.5      >19.4             ?                    V              3887
1179.5     >21.2             ?                    B              3887
647.5      >19.              ?                    U              3887
707        >19.7             ?                  UVW1             3887
693        >19.3             ?                  UVM2             3887
1175       >20.3             ?                  UVW2             3887
15840      21.             0.2                    R              3891
102312     21.6            0.2                    R              3891
15840      22.23           0.15                   R              4749
102312     >22.8             ?                     R              4749
