time,mag,err,band,gcn
Dec 4 04h15m UT,14.9,0.2,H,2466
Dec 4 04h15m UT,13.4,0.2,Ks,2466
Dec 4 04h15m UT,16.5,0,J,2466
Dec 4 3:00 to 6:11 UT, 23,0,I,2468
Dec 4 3:00 to 6:11 UT, 20.5,0.5,J,2468
Dec 4 04:54 to 05:47 UT, 18.2, 0.08, J,2471
Dec 4 04:54 to 05:47 UT, 17.35, 0.04, H,2471
Dec 4 04:54 to 05:47 UT, 16.45, 0.03, Ks_1,2471
Dec 4 04:54 to 05:47 UT, 16.43, 0.04, Ks_2,2471
Dec 5 06:12 UT,18.40,0.15,J,2476
Dec 5 06:12 UT,17.80,0.15,H,2476
Dec 5 06:12 UT,16.70,0.15,Ks,2476

