time,,	mag,	mag_err,	band,	gcn
01/12/12 10:15:57 GMT,,19,0, R,1191
Dec.12.22   900s,,20.07,0.15, R,1195
Dec.12.28   300s,,21.41,0.15, B,1195
Dec.12.28   300s,,20.09,0.15, g-i,1195
Dec.12.29   300s,,21.14,0.15, V,1195
Dec.12.28  4200s,,20.12,0.15, R,1195
Dec.12.36   300s,,21.21,0.15, V,1195
  Dec 12 07:16:02 (expt)600,,20.79,0.05,   V  ,1199
  Dec 13 06:19:28 600,,21.71,0.09,   V  ,1199
  Dec 12 05:55:55 180,,20.1,0.08,   R  ,1199
  Dec 12 06:04:34 600,,20.41,0.04,   R  ,1199
  Dec 12 06:33:59 600,,20.43,0.05,   R  ,1199
  Dec 12 06:59:04 600,,20.35,0.03,   R  ,1199
  Dec 12 07:39:27 600,,20.4,0.04,   R  ,1199
  Dec 13 05:43:15 600,,21.48,0.11,   R  ,1199
  Dec 13 08:09:13 600,,21.52,0.07,   R  ,1199
  Dec 12 06:18:16 600,,19.95,0.06,   I  ,1199
  Dec 12 06:47:12 600,,19.92,0.07,   I  ,1199
  Dec 12 07:27:46 600,,19.96,0.05,   I  ,1199
  Dec 12 07:51:13 600,,20.1,0.06,   I  ,1199
  Dec 13 06:03:48 600,,20.8,0.11,   I  ,1199
  Dec 13 08:23:44 600,,20.94,0.12,   I  ,1199
01/12/14 22:09:28 GMT,,22.3,0.2,V,1204
01/12/14 22:09:28 GMT,,22.4,0.2,R,1204
01/12/14 22:09:28 GMT,,21,0.2,I,1204
01/12/24 20:55:58 GMT,,24.2,0.2, R,1213
02/01/01 20:47:03 GMT,,,,,1214
2001 December 13.29,,21.81,0.06, V,1214
