Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
1836,16.5,0, V,Johnson-Cousins,BOOTES-1B,no, gcn3023
1836,15,0, I,Johnson-Cousins,BOOTES-1B,no, gcn3023
585.6,20.5,0, K,Johnson,UKIRT/UFTI,no, gcn3028
784.2,19,0,V,Vega,Lulin-1m-telescope,no,gcn3030
873.6,20,0,I,Vega,Lulin-1m-telescope,no,gcn3030
119512.81,20.23,0.11, K,Vega,UKIRT/UFTI,no,gcn3031
119512.81,20.75,0.22,I,Vega,UKIRT/UFTI,no,gcn3031
34200,20.5,0,R,Vega,Palomar-60inch,no,gcn3033
188280,20.5,0,R,Vega,Palomar-60inch,no,gcn3033
106185.6,21,0,R,AB,2.0m-Faulkes_North-Telescope ,no,gcn3051
106185.6,21.9,0,R,AB,2.0m-Faulkes_North-Telescope ,no,gcn3051
106185.6,22,0,R,AB,2.0m-Faulkes_North-Telescope ,no,gcn3051
106185.6,21.7,0,R,AB,2.0m-Faulkes_North-Telescope ,no,gcn3051
106185.6,20.2,0,R,AB,2.0m-Faulkes_North-Telescope ,no,gcn3051
106185.6,21.9,0,R,AB,2.0m-Faulkes_North-Telescope ,no,gcn3051
106185.6,21.3,0,R,AB,2.0m-Faulkes_North-Telescope ,no,gcn3051
910405.07,22.2,0.5,V,swift,swift-UVOT,no,gcn3069
927425.545,23,0.5,B,swift,swift-UVOT,no,gcn3069
933366.285,22.7,0.5,U,swift,swift-UVOT,no,gcn3069
939727.43,21.9,0.5,V,swift,swift-UVOT,no,gcn3069
951123.78,22,0.5,V,swift,swift-UVOT,no,gcn3069
1083830.365,22.9,0.5,B,swift,swift-UVOT,no,gcn3069
1118810.03,22.2,0.5,V,swift,swift-UVOT,no,gcn3069
1153340.805,22.9,0.5,B,swift,swift-UVOT,no,gcn3069
36083.2,20.23,0.11,K98,AB,UKIRT/UFTI,no,arXiV:astro-ph/0605256.pdf
120782.4,20.75,0.22,K98,AB,UKIRT/UFTI,no,arXiV:astro-ph/0605256.pdf
205304,21.1,0.31,K98,AB,UKIRT/UFTI,no,arXiV:astro-ph/0605256.pdf
1423009.8,22.08,0.29,K,AB,GEMINI/NIRI,no,arXiV:astro-ph/0605256.pdf
8664798.6,22.25,0,K,AB,GEMINI/NIRI,no,arXiV:astro-ph/0605256.pdf
989834.4,24.71,0.11,r,AB,GEMINI/GMOS,no,arXiV:astro-ph/0605256.pdf
1840096.8,24.66,0.05,r,AB,GEMINI/GMOS,no,arXiV:astro-ph/0605256.pdf
9952452,24.68,0.07,r,AB,GEMINI/GMOS,no,arXiV:astro-ph/0605256.pdf
2113768.81,n/a,n/a,R400,AB,GEMINI/GMOS,no,arXiV:astro-ph/0605256.pdf
