Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
76.81,17.2,0, unfiltered,Kron-cousins,P60,no, gcn2867
383.21,15.5,0,K,Johnson,n/a,no, gcn2870
2880,14.9,0,Ks,Johnson-Cousins,WIRC-P200,no,gcn2876
5580,15.5,0,Ks,Johnson-Cousins,WIRC-P200,no,gcn2876
87305.21,16.5,0,Ks,Johnson-Cousins,WIRC-P200,no,gcn2884
98045.21,21,0.3,z,,P60,no,gcn2885
305.21,19.4,0,R,Johnson-Cousins,RAPTOR-S,no,gcn2889
412.71,18.5,0,R,Johnson,25cm-TAROT,no,gcn2905
170100,19.9,0.2,J,Johnson,ARC-3.5m,no,gcn2916
170100,18.9,0.1,H,Johnson,ARC-3.5m,no,gcn2916
170100,17.6,0.2,Ks,Johnson-Cousins,ARC-3.5m,no,gcn2916
239.21,2.9_mJy,0.8_mJy,Rc,Johnson-Cousins,RAPTOR-S,yes,astro-ph/0503521
302.95,10.3_mJy,1.1_mJy,Rc,Johnson-Cousins,RAPTOR-S,yes,astro-ph/0503521
367.69,3.8_mJy,0.8_mJy,Rc,Johnson-Cousins,RAPTOR-S,yes,astro-ph/0503521
494.27,1.1_mJy,0.5_mJy,Rc,Johnson-Cousins,RAPTOR-S,yes,astro-ph/0503521
n/a,13.7,0,Rc,Johnson-Cousins,,yes,astroph-0605016
