time_sec	mag	mag_err	band
82.13182	13.734455334111003	0.2286190145118347	V
118.4992	13.550834888369812	0.21606522246965917	V
165.1939	13.697725770873571	0.216065223514612	V
222.5088	13.881345027374643	0.22861901158562906	V
289.5844	14.064954825040108	0.22861901313063843	V
364.1477	14.358744727452756	0.21606522164513467	V
452.6943	14.579085322884982	0.21606521699869974	V
556.3617	14.836146051369525	0.21606521917612617	V
691.6472	15.129936143182377	0.2160652325562912	V
850.035	15.350265707635407	0.2286190114853836	V
1032.795	15.607335701815133	0.22861900208623795	V
1240.555	15.827675364548305	0.22861902085245653	V
1439.768	15.97456596727506	0.21606522044035956	V
1633.123	16.158174444154568	0.22861900805366067	V
1831.345	16.268345321575055	0.2286190120934261	V
2030.235	16.451965819240414	0.24511603328291892	V
2410.866	16.451965819240414	0.22861901211065636	V
2612.156	16.709025180384767	0.26482613238335345	V
2830.25	16.782474807989257	0.2648261164628132	V
2997.095	16.81919477706431	0.24511602899136511	V
3210.342	16.855916046226525	0.28707870660238466	V
3399.593	16.782474807989257	0.28707872562292697	V
3600.0	16.782474807989257	0.3113330453834851	V
3856.144	16.966085717162784	0.28707872566468395	V
4083.465	17.370045350869113	0.2870786902986005	V
4324.187	17.333325207642098	0.3113329733511407	V
4526.942	17.51693620941546	0.3371645224206779	V
4961.42	17.44349509408916	0.2870787112315842	V
5375.661	17.663825767166408	0.3922664111877793	V
5824.488	17.55365620325136	0.33716450894219135	V
6028.137	17.627105700776337	0.33716448950213523	V
6238.906	17.70055684887469	0.3922664691383109	V
6457.045	17.810725257612823	0.3371645336464189	V
6682.812	17.847445283953455	0.39226646061755077	V
6916.472	17.920894721889916	0.3922664633080158	V
7324.2	17.920894721889916	0.3922664633080158	V
7755.965	17.920894721889916	0.3642252817760049	V
8598.287	18.141234908766158	0.36422523060582457	V
8797.56	17.957614958107207	0.3922664802696865	V
9210.065	18.25139431937685	0.337164547362948	V
9641.913	18.508465515716136	0.5727630589179868	V
10567.3	18.94913587499574	0.667306200301046	V
10936.78	19.20620584242134	0.7633055601405844	V
