GRB,path,datatype,RA,DEC,Coord_Error,Instrument,idGRB,Author,z,T90 (s),class,logFa (erg/cm^2 s),logFaErr (erg/cm^2 s),logTa (s),logTaErr (s),Alpha,AlphaErr,beta,betaErr,ktotal,dk,logTarescaled (s),logTaErr (s).1,logLumTa (erg/s),logLumTaErr (erg/s)
060526A,mastersample/060526A_Kann.txt,kann,15h31m23s,  +00° 15',3',Swift,60526,Kann[80],3.21,298.16,XRR,-12.2,0.01,4.19,0.01,1.12,0.01,0.65,0.06,0.604646115,0.052149372,3.565717904,0.01,46.54045175,0.038768818
070612A,mastersample/070612A_Kann.txt,kann,08h05m32s,  +37° 16',3',Swift,070612A,Kann[169],0.671,365.2,L,-12.376,0.35375,5.2145,0.14528,2.69428,0.53173,0.6,0.189542021,0.814346849,0.079248238,4.99152355,0.14528,44.8265686,0.356265713
050502A,mastersample/050502A_Kann.txt,kann,13h29m46s, +42° 40',3',INTEGRAL,050502A,GCN[63],3.79,20.0,L,-12.6,0.04,3.72,0.03,1.43,0.02,0.76,0.16,0.686624786,0.172098977,3.039664487,0.03,46.36800037,0.115970359
050802A,mastersample/050802A_Kann.txt,kann,14h37m09s,  +27° 48',4',Swift,50802,Kann[68],1.71,30.0,L,-11.61,0.08,2.91,0.09,0.91,0.01,0.36,0.26,0.528323166,0.136944875,2.477030709,0.09,46.40668985,0.138103073
140423A,mastersample/140423A_converted_flux_accepted_ext_corr.txt,GCN,13h09m10s,+49° 49',3,Swift,140423A,GCN[15],3.26,134.0,L,-12.77456061,0.051904755,4.184892114,0.057199192,1.024631477,0.027846273,1.0,0.0835,1.0,0.121013975,3.555482515,0.057199192,46.2004848,0.073866131
020124A,mastersample/020124_converted_flux_accepted_ext_corr.txt,GCN,09h33m08s,-11° 35',19',HETE,20124,GCN[1],3.198,45.91,L,-12.77472256,0.054929545,4.454183614,0.065307118,1.96157201,0.072087664,1.36,0.23,1.676082055,0.553039852,3.83114118,0.065307118,46.40462133,0.153466857
100814A,mastersample/100814A_Kann.txt,kann,01h29m55s,-17° 59',3,Swift,100814A,Kann[173],1.439,174.5,L,-12.9168,0.0267,5.59489,0.013105,2.25952,0.052845,0.41063,0.04311,0.591274271,0.022726433,5.2076782,0.013105,44.96399631,0.031488669
050408A,mastersample/050408A_Si.txt,si,12h01m55s, +10° 52',2.5',HETE,50408,Si[61],1.24,34.0,L,-13.25,0.03,4.36,0.05,0.83,0.05,0.28,0.33,0.559527488,0.148910987,4.009751982,0.05,44.44698795,0.119411738
060927A,mastersample/060927A_Kann.txt,kann,21h58m13s,  +05° 21',3',Swift,60927,Kann[86],5.46,22.54,XRR,-12.19,0.26,3.24,0.23,1.26,0.06,0.82,0.147092192,0.714756555,0.196143141,2.429767482,0.23,47.16934008,0.286013295
170607A,mastersample/170607A_converted_flux_accepted_ext_corr.txt,GCN,00h29m22s,+09° 14',3,Swift,170607A,GCN[32],0.557,23.0,L,-11.90836051,0.023498935,4.186609144,0.035486555,0.979570761,0.024255934,0.9,0.0682,0.956689789,0.028888485,3.994320531,0.035486555,45.16770156,0.026910577
190627A,mastersample/190627A_converted_flux_accepted_ext_corr.txt,GCN,16h19m19s ,-05° 18',3,Swift,190627A,GCN[39],1.942,1.6,S,-12.10244638,0.05330265,4.730085948,0.047221072,1.621722725,0.050316798,1.0,0.135,1.0,0.145677099,4.26144328,0.047221072,46.32703797,0.082727598
090102A,mastersample/090102A_Kann.txt,kann,08h33m02s,+33° 05',3,Swift,90102,Kann[117],1.55,27.04,L,-12.25,0.11,3.3,0.1,1.14,0.02,0.74,0.22,0.783970197,0.161451245,2.89345982,0.1,45.83297224,0.141772021
110213A,mastersample/110213A_Kann.txt,kann,02h52m01s,+49° 17',3,Swift,110213A,Liang[174],1.4607,48.0,L,-11.5304,0.0418,4.36285,0.03889,1.91037,0.065815,0.9,0.06,0.913890437,0.049374532,3.971791331,0.03889,46.55555735,0.047935131
191011A,mastersample/191011A_converted_flux_accepted_ext_corr.txt,GCN,02h58m54s,-27° 51',3,Swift,191011A,GCN[40],1.722,7.37,L,-12.81844862,0.089478465,3.303409268,0.236045417,0.811693499,0.140267147,0.9,0.155,0.904713744,0.140422312,2.868521147,0.236045417,45.43932508,0.112027622
161023A,mastersample/161023A_Kann.txt,kann,20h44m08s,-47° 40',2.6,INTEGRAL,161023A,Kann[150],2.71,44.0,L,-11.91,0.05,4.55,0.04,1.36,0.02,0.66,0.08,0.640343301,0.067160838,3.98062609,0.04,46.67827374,0.067637228
090313A,mastersample/090313A_Zaninoni.txt,zaninoni,13h13m35s,+08° 06',3,Swift,90313,Zaninoni[118],3.38,78.32,XRR,-11.11,0.34,3.23,0.32,1.01,0.03,1.04,0.02,1.060862174,0.031338902,2.588525889,0.32,47.92829995,0.340241966
170604A,mastersample/170604A_converted_flux_accepted_ext_corr.txt,GCN,22h50m35s,-15° 25',3,Swift,170604A,GCN[31],1.329,26.7,L-XRF,-12.22060121,0.232991325,3.774652541,0.434719251,0.647615644,0.061559323,0.8,0.0758,0.84443476,0.05411499,3.407483052,0.434719251,45.72960481,0.234647708
