Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
240.0	22.8	0.0	r	2.2m-MPI/ESO	7231
240.0	21.5	0.0	i	2.2m-MPI/ESO	7231
240.0	20.6	0.0	z	2.2m-MPI/ESO	7231
240.0	18.9	0.0	J	2.2m-MPI/ESO	7231
240.0	18.1	0.0	H	2.2m-MPI/ESO	7231
240.0	17.0	0.0	K	2.2m-MPI/ESO	7231
2640.0	22.93	0.06	R	Gemini-South	7233
3000.0	22.86	0.05	R	Gemini-South	7233
3360.0	22.78	0.04	R	Gemini-South	7233
3720.0	22.56	0.04	R	Gemini-South	7233
4080.0	22.87	0.05	R	Gemini-South	7233
4199.5	21.3	0.0	v	Swift/UVOT	7246
5216.0	22.2	0.0	b	Swift/UVOT	7246
4568.0	21.5	0.0	u	Swift/UVOT	7246
4315.0	21.3	0.0	uvw1	Swift/UVOT	7246
4158.5	21.2	0.0	uvm2	Swift/UVOT	7246
5505.0	21.7	0.0	uvw2	Swift/UVOT	7246
4635.0	23.1	0.0	white	Swift/UVOT	7246
