Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
773.5	17.05	0.18	u	UVOT	covino10
2515.5	19.1	0.2	BJ	SMARTS	covino10
79.5	14.87	0.2	v	UVOT	covino10
197.5	16.38	0.21	v	UVOT	covino10
247.5	16.37	0.15	v	UVOT	covino10
297.5	16.52	0.17	v	UVOT	covino10
495.5	17.34	0.17	v	UVOT	covino10
628.5	16.88	0.26	VJ	REM	covino10
778.5	17.5	0.42	VJ	REM	covino10
1025.5	17.71	0.29	VJ	REM	covino10
1055.5	18.28	0.35	v	UVOT	covino10
1375.5	18.04	0.35	VJ	REM	covino10
2515.5	18.9	0.3	VJ	SMARTS	covino10
1279995.5	25.04	0.1	VJ	NOT	covino10
56.5	14.02	0.04	RC	REM	covino10
75.5	14.43	0.06	RC	REM	covino10
95.5	14.83	0.06	RC	REM	covino10
114.5	15.0	0.08	RC	REM	covino10
133.5	15.38	0.1	RC	REM	covino10
152.5	15.48	0.12	RC	REM	covino10
171.5	15.6	0.12	RC	REM	covino10
190.5	15.73	0.12	RC	REM	covino10
209.5	15.74	0.13	RC	REM	covino10
228.5	15.71	0.14	RC	REM	covino10
243.5	16.14	0.14	RC	REM	covino10
272.5	16.25	0.15	RC	REM	covino10
301.5	16.32	0.16	RC	REM	covino10
331.5	16.35	0.16	RC	REM	covino10
360.5	16.63	0.21	RC	REM	covino10
389.5	16.67	0.2	RC	REM	covino10
418.5	16.63	0.18	RC	REM	covino10
447.5	16.58	0.2	RC	REM	covino10
476.5	16.73	0.21	RC	REM	covino10
505.5	16.93	0.26	RC	REM	covino10
537.5	17.11	0.25	RC	REM	covino10
566.5	16.95	0.23	RC	REM	covino10
596.5	17.34	0.34	RC	REM	covino10
690.5	17.08	0.28	RC	REM	covino10
719.5	17.48	0.36	RC	REM	covino10
748.5	17.36	0.33	RC	REM	covino10
820.5	17.65	0.27	RC	REM	covino10
889.5	17.49	0.24	RC	REM	covino10
959.5	17.64	0.27	RC	REM	covino10
1205.5	18.36	0.36	RC	REM	covino10
1415.5	18.37	0.34	RC	REM	covino10
2175.5	18.36	0.07	RC	Danish	covino10
2455.5	18.56	0.06	RC	Danish	covino10
2515.5	18.7	0.1	RC	SMARTS	covino10
2645.5	18.72	0.06	RC	Danish	covino10
2855.5	18.29	0.4	RC	REM	covino10
2865.5	18.79	0.06	RC	Danish	covino10
3095.5	18.77	0.4	RC	REM	covino10
3115.5	18.86	0.06	RC	Danish	covino10
3395.5	19.0	0.06	RC	Danish	covino10
3675.5	19.06	0.06	RC	Danish	covino10
3785.5	19.03	0.43	RC	REM	covino10
4015.5	19.02	0.05	RC	Danish	covino10
82695.5	22.83	0.16	RC	Danish	covino10
1109995.5	25.0	0.2	RC	NOT	covino10
34299995.5	25.63	0.25	RC	TNG	covino10
735.5	17.17	0.37	IC	REM	covino10
1095.5	17.52	0.34	IC	REM	covino10
1455.5	17.55	0.32	IC	REM	covino10
2515.5	18.4	0.1	IC	SMARTS	covino10
814.5	19.22	0.06	J	UKIRT	covino10
9995.5	18.65	0.08	H	UKIRT	covino10
8585.5	17.8	0.03	K	UKIRT	covino10
95.5	15.23	0.11	white	UVOT	covino10
105.5	15.44	0.1	white	UVOT	covino10
115.5	15.6	0.1	white	UVOT	covino10
125.5	15.67	0.1	white	UVOT	covino10
135.5	15.69	0.1	white	UVOT	covino10
145.5	15.76	0.1	white	UVOT	covino10
155.5	15.92	0.11	white	UVOT	covino10
165.5	15.94	0.1	white	UVOT	covino10
175.5	16.06	0.11	white	UVOT	covino10
185.5	16.28	0.12	white	UVOT	covino10
715.5	17.57	0.3	white	UVOT	covino10
815.5	17.58	0.33	white	UVOT	covino10
855.0	17.51	0.05	RC	P60	cenko09
1110.0	17.86	0.05	ii	P60	cenko09
1200.0	17.85	0.06	RC	P60	cenko09
1290.0	17.91	0.05	ii	P60	cenko09
1380.0	17.86	0.07	zz	P60	cenko09
1480.0	17.95	0.06	RC	P60	cenko09
1570.0	18.15	0.13	ii	P60	cenko09
1660.0	18.24	0.11	zz	P60	cenko09
1940.0	18.2	0.05	RC	P60	cenko09
2030.0	18.53	0.05	ii	P60	cenko09
2120.0	18.4	0.07	zz	P60	cenko09
2200.0	18.9	0.08	gg	P60	cenko09
2290.0	18.4	0.05	RC	P60	cenko09
2390.0	18.57	0.05	ii	P60	cenko09
2480.0	18.43	0.07	zz	P60	cenko09
2570.0	18.97	0.1	gg	P60	cenko09
2660.0	18.72	0.07	RC	P60	cenko09
2750.0	18.8	0.06	ii	P60	cenko09
2850.0	18.5	0.07	zz	P60	cenko09
2930.0	19.04	0.11	gg	P60	cenko09
3030.0	18.86	0.08	RC	P60	cenko09
3120.0	18.95	0.06	ii	P60	cenko09
3210.0	18.95	0.11	zz	P60	cenko09
3300.0	19.48	0.15	gg	P60	cenko09
3400.0	19.07	0.09	RC	P60	cenko09
3490.0	18.88	0.06	ii	P60	cenko09
3580.0	19.01	0.12	zz	P60	cenko09
3670.0	19.44	0.14	gg	P60	cenko09
3760.0	19.1	0.09	RC	P60	cenko09
3850.0	19.21	0.08	ii	P60	cenko09
3940.0	18.97	0.11	zz	P60	cenko09
4030.0	19.53	0.15	gg	P60	cenko09
4120.0	19.28	0.11	RC	P60	cenko09
4220.0	19.14	0.07	ii	P60	cenko09
4310.0	19.48	0.17	zz	P60	cenko09
4400.0	19.77	0.18	gg	P60	cenko09
4550.0	19.17	0.07	RC	P60	cenko09
4710.0	19.38	0.1	ii	P60	cenko09
4930.0	19.56	0.11	zz	P60	cenko09
5310.0	19.39	0.09	RC	P60	cenko09
5470.0	19.7	0.09	ii	P60	cenko09
5690.0	19.73	0.13	zz	P60	cenko09
6090.0	19.92	0.09	gg	P60	cenko09
6070.0	19.65	0.11	RC	P60	cenko09
6230.0	19.64	0.07	ii	P60	cenko09
6460.0	19.52	0.1	zz	P60	cenko09
6900.0	19.99	0.13	RC	P60	cenko09
7120.0	19.54	0.09	RC	P60	cenko09
7330.0	19.72	0.09	RC	P60	cenko09
7550.0	20.16	0.09	ii	P60	cenko09
7770.0	20.13	0.11	ii	P60	cenko09
7980.0	20.09	0.1	ii	P60	cenko09
8600.0	20.49	0.16	zz	P60	cenko09
9320.0	20.4	0.11	gg	P60	cenko09
92140.0	23.16	0.3	ii	P60	cenko09
92740.0	22.7	100.0	RC	P60	cenko09
346160.0	22.9	100.0	ii	P60	cenko09
