Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
130.0	18.5	0	White_swift	Swift/UVOT	5447
51.5	14.8	0	R	TAROT-robotic-25cm	5448
103.0	15.7	0	R	TAROT-robotic-25cm	5448
140.0	15.7	0	R	TAROT-robotic-25cm	5448
176.0	15.7	0	R	TAROT-robotic-25cm	5448
158.0	17.4	0	R	TAROT-robotic-25cm	5448
3480.0	24.0	0	R	ESO-VLT-UT2+FORS1	5450
129.0	19.7	0	White_swift	Swift/UVOT	5453
10130.0	21.39	0	WHITE_swift	Swift/UVOT	5453
6178.0	20.36	0	V_swift	Swift/UVOT	5453
12876.0	21.53	0	B_swift	Swift/UVOT	5453
12507.5	21.04	0	U_swift	Swift/UVOT	5453
12039.0	20.52	0	W1_swift	Swift/UVOT	5453
6679.0	20.5	0	M2_swift	Swift/UVOT	5453
4149.0	20.02	0	W2_swift	Swift/UVOT	5453
24461.0	18.0	0	K	UKIRT	5455
