Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
25.6	13.6	0.0	R	ROTSE-IIIb	6948
7200.0	20.4	0.0	R	VLT-FORS2	6952
8160.0	19.06	0.23	J	Mt.-Hopkins/1.3m-PAIRITEL	6953
8270.0	18.71	0.3	H	Mt.-Hopkins/1.3m-PAIRITEL	6953
40860.0	21.14	0.08	R	TNT-0.8	6956
93528.0	20.93	0.09	R	Mt.-Lemmon-1m	6970
61200.0	20.9	0.3	White	0.3m-Meade-LX200-THO	6981
33660.0	21.1	0.0	g'	50cm-MITSuME	7026
33480.0	21.2	0.3	Rc	50cm-MITSuME	7026
33660.0	19.8	0.3	Ic	50cm-MITSuME	7026
63072.0	20.5	0.3	I	CrAO/AZT-8	7146
61344.0	21.0	0.0	B	CrAO/AZT-8	7146
