Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
1876.0	16.1	0	Unfiltered	30cm-Telescope-University_of_Miyazaki	4009
186.3	17.3	0	Unfiltered	ROTSE-IIIa-SSO	4010
648.5	15.5	0	Rc	14inch-ART	4024
3793.0	17.1	0	Ic	14inch-ART	4024
49057.9	22.5	0	r'	Observatorio_del_Roque-de-los_Muchachos_La-Palma	4025
3169.5	20.1	0	V_swift	Swift/UVOT	4028
1104.5	20.2	0	B_swift	Swift/UVOT	4028
5954.0	20.5	0	U_swift	Swift/UVOT	4028
4098.0	20.3	0	UVW1_swift	Swift/UVOT	4028
3675.0	20.6	0	UVM2_swift	Swift/UVOT	4028
1164.5	20.1	0	UVW2_swift	Swift/UVOT	4028
1758.0	16.0	0	R	UAPhO	4047
