Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
147.0	18.0	0	White_swift	Swift/UVOT	5398
126.5	17.7	0	Clear	0.76m-KAIT	5400
186.5	16.7	0	I	0.76m-KAIT	5400
214.0	18.0	0	Clear	0.76m-KAIT	5400
258.5	16.8	0	V	0.76m-KAIT	5400
240.0	19.0	0	R	automated-Palomar-60inch	5401
3364.5	20.1	0	WHITE_swift	Swift/UVOT	5402
5929.0	20.3	0	V_swift	Swift/UVOT	5402
3554.0	20.6	0	B_swift	Swift/UVOT	5402
3439.5	20.2	0	U_swift	Swift/UVOT	5402
3325.5	19.7	0	W1_swift	Swift/UVOT	5402
8344.5	20.6	0	M2_swift	Swift/UVOT	5402
5787.0	20.7	0	W2_swift	Swift/UVOT	5402
62640.0	22.9	0	r'	2m-Liverpool	5406
64627.2	22.6	0	i'	2m-Liverpool	5406
