Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
176.0	18.5	0.0	White_swift	Swift/UVOT	5285
15281.0	20.0	0.0	R	OSN/BOOTES-IR-0.6m	5288
10800.0	20.3	0.5	White	Skinakas/1.3m	5291
123724.0	19.9	0.5	White	Skinakas/1.3m	5314
3584.0	20.37	0.29	WHITE_swift	Swift/UVOT	5294
3120.0	19.65	0.49	V_swift	Swift/UVOT	5294
3768.0	19.57	0.17	B_swift	Swift/UVOT	5294
3656.0	19.32	0.0	U_swift	Swift/UVOT	5294
3536.0	19.24	0.0	W1_swift	Swift/UVOT	5294
3432.0	19.56	0.0	M2_swift	Swift/UVOT	5294
3984.0	19.47	0.0	W2_swift	Swift/UVOT	5294
123725.0	22.4	0.0	R	VLT/FORS1	5298
16920.0	19.9	0.5	White	Skinakas/1.3m	5314
