Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
1680.0	14.5	0.0	Unfiltered	MASTER-Vostrykovo	3750
3729.0	16.0	0.0	R	TAROT-robotic-25cm	3751
5601.0	17.8	0.0	R	TAROT-robotic-25cm	3751
7200.0	18.7	0.0	R	TAROT-robotic-25cm	3751
37377.6	22.0	0.0	I	Carnegie_Observatories	3753
12000.0	19.0	0.0	I	Tautenburg	3754
1104.0	14.6	0.0	Unfiltered	MASTER	3755
2100.0	17.0	0.0	Unfiltered	MASTER	3755
2670.0	18.6	0.0	Unfiltered	MASTER	3755
235.09	18.8	0.0	v_swift	Swift/UVOT	3759
365.14	17.5	0.0	v_swift	Swift/UVOT	3759
1357.88	18.5	0.0	v_swift	Swift/UVOT	3759
11900.74	20.0	0.0	v_swift	Swift/UVOT	3759
336.31	18.5	0.0	b_swift	Swift/UVOT	3759
1148.34	19.7	0.0	b_swift	Swift/UVOT	3759
6919.71	20.7	0.0	b_swift	Swift/UVOT	3759
18490.49	20.7	0.0	b_swift	Swift/UVOT	3759
322.1	18.3	0.0	u_swift	Swift/UVOT	3759
1043.66	19.5	0.0	u_swift	Swift/UVOT	3759
6115.3	20.7	0.0	u_swift	Swift/UVOT	3759
17685.21	20.7	0.0	u_swift	Swift/UVOT	3759
308.4	18.7	0.0	UVW1	Swift/UVOT	3759
5208.39	21.1	0.0	UVW1	Swift/UVOT	3759
16778.3	21.1	0.0	UVW1	Swift/UVOT	3759
294.29	18.5	0.0	UVM2	Swift/UVOT	3759
1446.35	19.5	0.0	UVM2	Swift/UVOT	3759
12705.06	20.9	0.0	UVM2	Swift/UVOT	3759
351.49	19.4	0.0	UVW2	Swift/UVOT	3759
1253.64	20.2	0.0	UVW2	Swift/UVOT	3759
10993.89	21.5	0.0	UVW2	Swift/UVOT	3759
7560.0	20.72	0.22	R	Carnegie-Observatory	3792
5310.0	20.9	0.1	R	IAO/2m-HCT	3774
11340.0	20.9	0.1	R	IAO/2m-HCT	3774
36000.0	21.4	0.0	Rc	Skynet-PROMPT	3780
10080.0	22.1	0.1	R	CrAO2.6m-Shain	3783
95220.0	22.05	0.05	R	CrAO2.6m-Shain	3783
