Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
219.0	18.0	0.0	V	Swift/UVOT	4509
3281.0	18.1	0.0	Unfiltered	University_of_Miyazaki/30cm	4511
844.5	19.5	0.0	V_swift	Swift/UVOT	4516
684.0	20.4	0.0	B_swift	Swift/UVOT	4516
1154.0	19.3	0.0	U_swift	Swift/UVOT	4516
1207.5	19.4	0.0	W1_swift	Swift/UVOT	4516
1190.0	19.5	0.0	M2_swift	Swift/UVOT	4516
1143.0	19.7	0.0	W2_swift	Swift/UVOT	4516
1118.0	19.8	0.0	White_swift	Swift/UVOT	4516
2040.0	19.2	0.4	Rc	MITSuME	4517
2040.0	18.5	0.5	Ic	MITSuME	4517
1140.0	19.1	0.5	Rc	MITSuME	4517
1140.0	17.9	0.4	Ic	MITSuME	4517
2880.0	19.1	0.0	Rc	MITSuME	4517
2880.0	19.0	0.0	Ic	MITSuME	4517
40200.0	17.7	0.0	R	La-silla/-REM,ROSS	4526
40600.0	15.1	0.0	H	La-silla/-REM,ROSS	4526
48960.0	21.5	0.0	r'	PROMPT-4	4530
