Time      Mag		   MagErr       	Band          GCN
150        >19.6            ?                    white           13510
828        20.5             0.3                  i               13511
647        >20.7             ?                   clear           18183
36505      20.97            0.09                 R               13520
190.5      >21.3            ?                    white fc        13516
453        >20.5            ?                    u fc            13516
619        >19.8            ?                    u fc            13516
868        >19.2            ?                    v               13516
614         20.01           0.41                 b               13516
474         20.5            0.37                 u               13516
1117.5      >19.2           ?                    uvw1            13516
1256.5      >18.4           ?                    uvm2            13516
674         >19.5           ?                    uvw2            13516
216.5       21.54           0.45                 white           13516
