Time				Mag		MagErr		Band		GCN
26920.8				>26.42		?		g		16180
26920.8				23.55		0.07		i		16180
179.				>21.2		?		white		16187
5553.5				>20.3		?		v		16187
4938.5				>21.4		?		b		16187
267.5				>19.5		?		u		16187
5947.				>20.5		?		uw1		16187
7330				>24.4		?		g'		16191
7330				23.6		0.2		r'		16191
7330				21.7 		0.1		i'		16191
7330				21.5 		0.1		z'		16191
7330				>19.7		?		J		16191
7330				>20.6		?		H		16191
7330				>19.1		?		K		16191
616810				>23.3		?		z'		16252
