#t(s) exp(s) m emag
306.7000	66	17.84	0.02
410.3000	66	17.69	0.02
515.4000	66	17.76	0.02
729.0000	66	17.92	0.02
825.7000	66	17.98	0.02
923.7000	66	18.07	0.02
1023.8000	66	18.14	0.02
1154.9000	115	18.21	0.02
1340.7000	115	18.31	0.01
1524.9000	115	18.39	0.02
1716.9000	115	18.46	0.01
1919.5000	115	18.53	0.02
2113.2000	115	18.58	0.02
2309.5000	115	18.64	0.01
2504.0000	115	18.7	0.01
2836.8000	375	18.77	0.01
3289.6000	375	18.88	0.01
3741.8000	375	18.95	0.02
4193.9000	375	19.02	0.01
4656.8000	375	19.07	0.01
5102.1000	375	19.11	0.01
5554.2000	375	19.14	0.01
6006.3000	375	19.15	0.01
6470.8000	375	19.17	0.01
6914.3000	375	19.18	0.01
7362.4000	375	19.18	0.01
7806.0000	375	19.21	0.01
8268.5000	375	19.21	0.01
8720.2000	375	19.24	0.01
9169.3000	375	19.27	0.01
9621.4000	375	19.29	0.01
14444.6000	375 19.40	0.01
15377.7000	375 19.50	0.01
15827.4000	375 19.50	0.01
16278.5000	375 19.50	0.01
16730.0000	375 19.50	0.01
17357.0000	375 19.50	0.01
17805.7000	375 19.60	0.01
18256.5000	375 19.60	0.01
