Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            675.0000               5.0000    4.7424175218292753e-15    8.7358561639013795e-16
            817.0000               5.0000    2.8313905824843134e-15    5.2156143482843565e-16
           1513.0000               9.5000    1.7701080623616066e-15    3.2606596437735251e-16
           1666.0000               9.5000    1.9054597555900913e-15    3.3344873496695275e-16
           1825.0000               9.5000    1.9769686427076819e-15    3.6417109256495733e-16
           1983.0000               9.5000    2.0892950785002988e-15    3.2713302919567994e-16
           2136.0000               9.5000    1.3304537388966570e-15    3.4311009984080797e-16
           5943.0000              97.5000    5.7543963643822084e-16    6.3599940812376675e-17
           7372.0000              96.5000    3.2210670791280388e-16    5.9334250027582183e-17
          21710.0000            1331.5000    2.0137231653745897e-16    1.4837661041571951e-17
