Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             73.0000               5.0000    1.8706811950444472e-15    3.4459222059638248e-16
             97.0000               5.0000    5.9156134538720150e-15    5.4484814987707181e-16
            111.0000               5.0000    8.8715558430390015e-15    5.7197035906951809e-16
            127.0000               5.0000    1.2133882711028276e-14    6.7054315811678566e-16
            143.0000               5.0000    1.5135605307348963e-14    6.9702040314863078e-16
            159.0000               5.0000    2.0323560561578171e-14    9.3593457865663828e-16
            174.0000               5.0000    1.7378000082955730e-14    8.0028650177984392e-16
            190.0000               5.0000    1.8706812592297492e-14    8.6148058104938098e-16
            205.0000               5.0000    1.9230908238797389e-14    8.8561607820286649e-16
            220.0000               5.0000    1.6904401328530936e-14    7.7847647251199712e-16
            236.0000               5.0000    1.6904401328530936e-14    7.7847647251199712e-16
            251.0000               5.0000    1.5416997223283621e-14    7.0997898014008467e-16
            267.0000               5.0000    1.4190568474363017e-14    6.5349984741648970e-16
            282.0000               5.0000    1.4190568474363017e-14    6.5349984741648970e-16
            298.0000               5.0000    1.2359468436504770e-14    6.8300948636385129e-16
            314.0000               5.0000    1.0568170024346869e-14    5.8401867501158365e-16
            328.0000               5.0000    1.1912414389127898e-14    6.5830436600657899e-16
            344.0000               5.0000    9.6382856011324634e-15    6.2140325481013440e-16
            359.0000               5.0000    9.4623670605535844e-15    6.1006136702831566e-16
            385.0000              15.0000    8.5506630015276317e-15    3.9377259458655747e-16
            421.0000              15.0000    8.4722700507635029e-15    3.9016246568612337e-16
            455.0000              15.0000    7.4473161289835713e-15    3.4296159190138342e-16
            492.0000              15.0000    6.6069312655870774e-15    3.0426043761056577e-16
            527.0000              15.0000    6.4863411778841119e-15    2.9870705868454172e-16
            620.0000              75.0000    5.6493669863397125e-15    2.0813037731321618e-16
            798.0000              75.0000    3.3728714117836970e-15    1.8639176776644473e-16
            976.0000              75.0000    2.4210278326088685e-15    1.5608943721197788e-16
           1167.0000              75.0000    1.3677281280522075e-15    1.0077793566668005e-16
           1331.0000              75.0000    1.8196999383020289e-15    1.1732039402378991e-16
           1508.0000              75.0000    1.7218677027385241e-15    1.2687190459425389e-16
           1687.0000              75.0000    1.9588436849772317e-15    1.2629132315461880e-16
           2043.0000              75.0000    2.0701403058012288e-15    1.3346688168146668e-16
           2221.0000              75.0000    1.7377999486695851e-15    1.2804583589136975e-16
           2399.0000              75.0000    1.2359468012436687e-15    1.0245141943934736e-16
           2665.0000             150.0000    8.4722697600698264e-16    6.2425992367869526e-17
           2964.0000             150.0000    6.6069310388953966e-16    6.0852085434205559e-17
           3293.0000             150.0000    7.5857718149045487e-16    6.2880788169679841e-17
           3632.0000              75.0000    8.3176334073758438e-16    9.9590708069635994e-17
          13730.0000            3000.0000    1.6595860088866595e-16    3.5156310654432868e-17
          14733.0000               0.0010    1.0764646238550406e-16    1.9829211739034159e-17
