Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             70.2000               5.0000    2.6302664955901123e-17    7.5099516211467350e-18
             96.1000               5.0000    3.2508711347615006e-17    4.7906608829668849e-18
            160.1000              10.0000    1.1912413571669660e-16    3.2915216041608300e-18
            222.0000              10.0000    1.2133881878372354e-16    3.3527155605125875e-18
            326.0000              20.0000    8.7096311002241098e-17    1.6043733851348360e-18
            427.9000              20.0000    5.8613783807076122e-17    1.0797058297876753e-18
            613.8000              40.0000    4.2072639198660121e-17    7.7500667704484136e-19
            810.0000              40.0000    2.4888559003732463e-17    6.8769631917450934e-19
           1090.1000              40.0000    1.4859347843247558e-17    6.8429827640902247e-19
           1179.0000              40.0000    1.5275651768678522e-17    7.0346978121797508e-19
           1463.1000              40.0000    1.5275651768678522e-17    5.6277582497438005e-19
           1553.1000              40.0000    1.2941950915317874e-17    9.5359821151199621e-19
           1836.0000              40.0000    1.3677280341954469e-17    8.8180687657175886e-19
           1925.0000              40.0000    1.4859347843247558e-17    8.2115793169082708e-19
           2017.8000              40.0000    1.4321870715583881e-17    1.0552744628108781e-18
           2067.0000              20.0000    1.2589246817949740e-17    1.3914150186975613e-18
           2557.1000              40.0000    8.1658189258861760e-18    6.0167979110780062e-19
           2646.0000              40.0000    7.3113865360550625e-18    5.3872288421391759e-19
           2736.0000              40.0000    7.3113865360550625e-18    6.7340360526739699e-19
           2825.0000              40.0000    6.2517232374276713e-18    6.9096600702869227e-19
           4011.4000             640.0000    5.6493664048302029e-18    5.7235847869643721e-19
           5801.9000            1240.0000    5.4450233030723674e-18    3.0090311639020490e-19
           7431.6000             660.0000    2.7289761382125452e-18    2.0107839858813740e-19
          11327.2000            2360.0000    2.0137230271881033e-18    1.6692367526298293e-19
          14409.2000            2940.0000    1.5703618450361792e-18    2.1695351274485547e-19
