Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            125.9000              10.0000    4.6131731598843142e-17    4.2488896220566225e-18
            156.9000              10.0000    9.2044906530882656e-17    5.9343546014308435e-18
            187.8000              10.0000    1.1271968393789983e-16    6.2291201134611927e-18
            219.2000              10.0000    9.7274668935873217e-17    6.2715298538391112e-18
            272.0000              20.0000    1.0092523321566497e-16    3.7182231071892985e-18
            322.0000              20.0000    8.0167762064270103e-17    3.6918619836386516e-18
            373.2000              20.0000    6.7297628286273712e-17    3.7190044835222681e-18
            422.8000              20.0000    5.7016395449921168e-17    3.6759829679626670e-18
            514.1000              40.0000    4.3251358819225573e-17    3.5852377296913966e-18
            612.0000              40.0000    4.1686914918258732e-17    1.9197534325395743e-18
            710.0000              40.0000    3.1332839500244028e-17    1.7315167495532450e-18
            807.9000              40.0000    2.3768389309011162e-17    2.4080645812491202e-18
            902.9000              40.0000    2.1877603733718799e-17    2.4180021925384505e-18
           1080.1000              80.0000    1.5848922788845329e-17    1.3137657985504994e-18
           1351.2000             120.0000    1.3551886280202422e-17    1.1233574002459253e-18
           1633.1000             120.0000    1.2133881462044465e-17    8.9405745212718332e-19
           1910.6000             120.0000    1.2589246817949740e-17    8.1165876090691086e-19
           2182.8000             120.0000    1.3803834660691971e-17    1.0171041545879526e-18
           2536.4000             160.0000    1.1168625981647104e-17    7.2006794817712092e-19
           3239.6000             320.0000    6.5463578809160158e-18    5.4264767414174290e-19
           4126.0000             400.0000    6.2517232374276713e-18    6.3338550644296799e-19
           4878.3000             320.0000    4.7424170336753308e-18    4.8047203955787061e-19
           7519.1000             480.0000    2.6791667095053766e-18    4.6884472234548976e-19
           9971.9000             600.0000    1.7701078801580723e-18    2.9345933773279818e-19
