z=   3.0820000e+00 0.
TotalEnergy(erg)    6.4376762903380527e-02    6.5671118846022793e-04
Energy1(erg)    2.2239865293673272e+01    5.6040759385756600e-01
Energy2(erg)   -2.2244266730741927e+01    5.6096447997313548e-01
Energy3(erg)    1.9602000114319509e+02    2.0221795073783295e+00
Energy4(erg)    3.5185624036559702e+01    1.0690893293151149e+00
T_min_T_max    1.7883391464170511e+01    3.6092603622140291e+03
Interval1    1.7883391464170511e+01    1.6543752748853447e+02
Interval2    1.6543752748853447e+02    0.0000000000000000e+00
Interval3    0.0000000000000000e+00    2.0000000000000000e+03
Interval4    2.0000000000000000e+03    3.6092603622140291e+03
