time_sec	flux	flux_err	band
175392.0	2.5420899340932783e-14	2.3606035717016156e-14	g
2241706.0	3.0217452942013694e-14	2.3489874366293133e-15	i
2323354.0	2.9940417668241016e-14	2.3204165051057647e-15	i
2411482.0	3.049705159161368e-14	2.438963089483452e-15	i
2413124.0	3.1259874005401565e-14	4.745265708497552e-15	z
2415629.0	1.5359989222421733e-14	1.9170198127573025e-15	g
2418048.0	2.3905301633313308e-14	2.050814601875034e-15	V
2422109.0	1.2346157320566448e-14	2.1616793445298923e-15	B
3548246.0	2.5771686493273168e-14	1.0305901707156232e-14	Ks
3553258.0	2.1534058231644422e-14	8.433516421648285e-15	H
4985281.0	3.3920323822105726e-14	4.010252001921382e-15	Ic
175392.0	2.5420899340932783e-14	2.3606035717016153e-14	g
175911.0	4.3782543542681954e-14	4.0327543492099136e-14	r
