time_sec	mag	mag_err	band	source
77156.0	21.279838933840395	0.6	g	manual
77415.0	19.83195033721626	0.3	r	manual
77674.0	19.046674692600966	0.7	i	manual
134957.0	19.540234884560107	0.08	Ic	manual
175392.0	22.879838933840396	1.0	g	manual
175911.0	21.83195033721626	1.0	r	manual
2985207.0	21.160234884560108	0.26	Ic	manual
4985281.0	22.23783490790427	0.09	Rc	manual
4985281.0	21.270234884560107	0.08	Ic	manual
79892.0	19.92495033721626	0.033	r	manual
80237.0	19.93295033721626	0.039	r	manual
92420.0	19.072636874184013	0.064	I	manual
92765.0	19.984098591431977	0.06	R	manual
93197.0	20.69434040465951	0.07	V	manual
93716.0	21.685762329429387	0.088	B	manual
94493.0	21.53961608818173	0.205	U	manual
95184.0	20.10509859143197	0.069	R	manual
530036.0	21.95195033721626	0.036	r	manual
1814976.0	22.008098591431978	0.053	R	manual
2239978.0	22.32595033721626	0.028	r	manual
2241706.0	21.90667469260097	0.022	i	manual
2321453.0	22.24995033721626	0.03	r	manual
2323354.0	21.916674692600967	0.021	i	manual
2415629.0	23.426838933840397	0.043	g	manual
2409668.0	22.30895033721626	0.028	r	manual
2411482.0	21.896674692600964	0.03	i	manual
2413124.0	21.602480645909907	0.043	z	manual
2422109.0	23.949762329429387	0.079	B	manual
2418048.0	22.722340404659512	0.057	V	manual
2423751.0	22.12209859143197	0.051	R	manual
3548246.0	19.11287264850736	0.037	Ks	manual
3553258.0	19.81522787807882	0.035	H	manual
3550752.0	20.4409990324229	0.019	J	manual
78550.0	19.71509859143197	0.2	R	manual
90550.0	20.21509859143197	0.2	R	manual
134950.0	19.14863687418401	0.05	I	manual
